viersteller;vierstellername;Anzahl BA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
1-20b;Magnetenzephalographie (MEG);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-20c;Navigierte transkranielle Magnetstimulation (nTMS);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-210;Nichtinvasive Video-EEG-Intensivdiagnostik zur Klärung eines Verdachts auf Epilepsie oder einer epilepsiechirurgischen Operationsindikation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-211;Invasive Video-EEG-Intensivdiagnostik bei Epilepsie zur Klärung einer epilepsiechirurgischen Operationsindikation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-212;Invasive intraoperative Epilepsiediagnostik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-213;Syndromdiagnose bei komplizierten Epilepsien;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-220;Messung des Augeninnendrucks;3430;1;0;1;4;10;12;22;23;33;61;123;148;225;343;389;674;682;402;211;66;0,0003;0,00;0,0003;0,0012;0,0029;0,0035;0,0064;0,0067;0,0096;0,0178;0,0359;0,0431;0,0656;0,10;0,1134;0,1965;0,1988;0,1172;0,0615;0,0192
1-242;Audiometrie;5519;4582;3;20;28;26;49;48;47;43;89;136;115;84;69;52;61;44;18;5;0;0,8302;0,0005;0,0036;0,0051;0,0047;0,0089;0,0087;0,0085;0,0078;0,0161;0,0246;0,0208;0,0152;0,0125;0,0094;0,0111;0,008;0,0033;0,0009;0,00
1-243;Phoniatrie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-245;Rhinomanometrie;102;0;0;1;0;3;4;7;9;5;8;15;18;9;11;7;3;1;1;0;0;0,00;0,00;0,0098;0,00;0,0294;0,0392;0,0686;0,0882;0,049;0,0784;0,1471;0,1765;0,0882;0,1078;0,0686;0,0294;0,0098;0,0098;0,00;0,00
1-247;Olfaktometrie und Gustometrie;25;0;0;0;0;2;3;4;2;1;3;3;4;1;2;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,08;0,12;0,16;0,08;0,04;0,12;0,12;0,16;0,04;0,08;0,00;0,00;0,00;0,00;0,00;0,00
1-265;Elektrophysiologische Untersuchung des Herzens, kathetergestützt;1159;0;0;0;0;8;10;17;24;30;29;82;89;116;155;154;212;148;75;8;2;0,00;0,00;0,00;0,00;0,0069;0,0086;0,0147;0,0207;0,0259;0,025;0,0708;0,0768;0,1001;0,1337;0,1329;0,1829;0,1277;0,0647;0,0069;0,0017
1-266;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt;1515;0;0;0;0;6;11;11;3;15;13;37;27;80;84;128;266;322;267;176;69;0,00;0,00;0,00;0,00;0,004;0,0073;0,0073;0,002;0,0099;0,0086;0,0244;0,0178;0,0528;0,0554;0,0845;0,1756;0,2125;0,1762;0,1162;0,0455
1-268;Kardiales Mapping;853;0;0;0;0;8;9;18;20;18;21;61;59;88;103;120;155;111;57;4;1;0,00;0,00;0,00;0,00;0,0094;0,0106;0,0211;0,0234;0,0211;0,0246;0,0715;0,0692;0,1032;0,1208;0,1407;0,1817;0,1301;0,0668;0,0047;0,0012
1-269;Magnetokardiographie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-273;Rechtsherz-Katheteruntersuchung;516;0;0;0;0;1;1;1;2;5;6;20;34;38;52;63;87;102;70;31;3;0,00;0,00;0,00;0,00;0,0019;0,0019;0,0019;0,0039;0,0097;0,0116;0,0388;0,0659;0,0736;0,1008;0,1221;0,1686;0,1977;0,1357;0,0601;0,0058
1-274;Transseptale Linksherz-Katheteruntersuchung;918;0;0;0;0;1;1;0;12;13;14;49;84;122;126;149;206;107;31;3;0;0,00;0,00;0,00;0,00;0,0011;0,0011;0,00;0,0131;0,0142;0,0153;0,0534;0,0915;0,1329;0,1373;0,1623;0,2244;0,1166;0,0338;0,0033;0,00
1-275;Transarterielle Linksherz-Katheteruntersuchung;15567;0;0;0;0;1;5;9;29;75;186;513;926;1400;1812;2103;2953;3115;1682;635;123;0,00;0,00;0,00;0,00;0,0001;0,0003;0,0006;0,0019;0,0048;0,0119;0,033;0,0595;0,0899;0,1164;0,1351;0,1897;0,2001;0,108;0,0408;0,0079
1-276;Angiokardiographie als selbständige Maßnahme;14;0;0;0;0;0;0;0;1;0;0;2;0;2;3;2;1;3;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0714;0,00;0,00;0,1429;0,00;0,1429;0,2143;0,1429;0,0714;0,2143;0,00;0,00;0,00
1-277;Herzkatheteruntersuchung bei funktionell/morphologisch univentrikulärem Herzen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-279;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen;451;0;0;0;0;0;1;0;0;1;7;11;25;34;55;73;89;94;45;15;1;0,00;0,00;0,00;0,00;0,00;0,0022;0,00;0,00;0,0022;0,0155;0,0244;0,0554;0,0754;0,122;0,1619;0,1973;0,2084;0,0998;0,0333;0,0022
1-313;Ösophagusmanometrie;22;0;0;0;0;0;0;1;1;4;1;6;1;4;1;1;1;0;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0455;0,0455;0,1818;0,0455;0,2727;0,0455;0,1818;0,0455;0,0455;0,0455;0,00;0,0455;0,00;0,00
1-314;Manometrie der Gallen- und Pankreasgänge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-315;Anorektale Manometrie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-316;pH-Metrie des Ösophagus;69;0;2;0;0;0;0;4;2;3;5;5;9;10;8;8;6;5;1;1;0;0,00;0,029;0,00;0,00;0,00;0,00;0,058;0,029;0,0435;0,0725;0,0725;0,1304;0,1449;0,1159;0,1159;0,087;0,0725;0,0145;0,0145;0,00
1-317;pH-Metrie des Magens;24;0;0;0;1;0;0;0;1;4;2;7;1;4;1;2;1;0;0;0;0;0,00;0,00;0,00;0,0417;0,00;0,00;0,00;0,0417;0,1667;0,0833;0,2917;0,0417;0,1667;0,0417;0,0833;0,0417;0,00;0,00;0,00;0,00
1-318;Dünndarmmanometrie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-319;Dickdarmmanometrie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-334;Urodynamische Untersuchung;458;0;0;0;0;3;3;5;2;2;9;15;24;39;61;61;95;84;35;20;0;0,00;0,00;0,00;0,00;0,0066;0,0066;0,0109;0,0044;0,0044;0,0197;0,0328;0,0524;0,0852;0,1332;0,1332;0,2074;0,1834;0,0764;0,0437;0,00
1-335;Messung des Urethradruckprofils;20;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;5;4;2;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,05;0,05;0,05;0,10;0,10;0,25;0,20;0,10;0,10;0,00
1-336;Harnröhrenkalibrierung;749;0;2;1;1;4;8;15;7;16;14;36;40;59;80;93;138;132;61;34;8;0,00;0,0027;0,0013;0,0013;0,0053;0,0107;0,02;0,0093;0,0214;0,0187;0,0481;0,0534;0,0788;0,1068;0,1242;0,1842;0,1762;0,0814;0,0454;0,0107
1-401;Perkutane Biopsie an intrakraniellem Gewebe mit Steuerung durch bildgebende Verfahren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-404;Perkutane (Nadel-)Biopsie an intraspinalem Gewebe;73;0;0;0;0;0;0;5;1;2;2;6;12;11;2;6;11;7;7;0;1;0,00;0,00;0,00;0,00;0,00;0,00;0,0685;0,0137;0,0274;0,0274;0,0822;0,1644;0,1507;0,0274;0,0822;0,1507;0,0959;0,0959;0,00;0,0137
1-405;Perkutane (Nadel-)Biopsie an peripheren Nerven;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-406;Perkutane (Nadel-)Biopsie an endokrinen Organen;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-407;Perkutane Biopsie an endokrinen Organen mit Steuerung durch bildgebende Verfahren;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-408;Endosonographische Biopsie an endokrinen Organen;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-410;Biopsie ohne Inzision an der Ohrmuschel;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-411;Biopsie ohne Inzision am äußeren Gehörgang durch Otoskopie;4;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0,00;0,50;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,00;0,00
1-412;Biopsie ohne Inzision an Augenlid und Augenbraue;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-413;Biopsie ohne Inzision an Konjunktiva und Kornea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-414;Biopsie ohne Inzision an der Nase;367;0;1;0;0;24;38;55;34;40;36;46;25;20;17;14;8;5;3;1;0;0,00;0,0027;0,00;0,00;0,0654;0,1035;0,1499;0,0926;0,109;0,0981;0,1253;0,0681;0,0545;0,0463;0,0381;0,0218;0,0136;0,0082;0,0027;0,00
1-415;Biopsie ohne Inzision an der Gesichtshaut;42;0;0;0;0;0;1;1;0;0;0;2;0;2;1;5;4;12;4;8;2;0,00;0,00;0,00;0,00;0,00;0,0238;0,0238;0,00;0,00;0,00;0,0476;0,00;0,0476;0,0238;0,119;0,0952;0,2857;0,0952;0,1905;0,0476
1-420;Biopsie ohne Inzision an Mund und Mundhöhle;62;0;0;0;0;0;1;1;1;1;2;8;12;5;6;7;7;3;7;1;0;0,00;0,00;0,00;0,00;0,00;0,0161;0,0161;0,0161;0,0161;0,0323;0,129;0,1935;0,0806;0,0968;0,1129;0,1129;0,0484;0,1129;0,0161;0,00
1-421;Biopsie ohne Inzision am Larynx;138;0;0;0;0;3;2;6;1;6;7;15;15;17;22;9;15;12;5;3;0;0,00;0,00;0,00;0,00;0,0217;0,0145;0,0435;0,0072;0,0435;0,0507;0,1087;0,1087;0,1232;0,1594;0,0652;0,1087;0,087;0,0362;0,0217;0,00
1-422;Biopsie ohne Inzision am Pharynx;181;0;1;1;2;0;4;4;5;3;11;14;24;32;22;27;15;12;3;0;1;0,00;0,0055;0,0055;0,011;0,00;0,0221;0,0221;0,0276;0,0166;0,0608;0,0773;0,1326;0,1768;0,1215;0,1492;0,0829;0,0663;0,0166;0,00;0,0055
1-424;Biopsie ohne Inzision am Knochenmark;435;2;0;0;0;1;2;1;8;5;5;11;14;28;20;37;90;109;66;30;6;0,0046;0,00;0,00;0,00;0,0023;0,0046;0,0023;0,0184;0,0115;0,0115;0,0253;0,0322;0,0644;0,046;0,0851;0,2069;0,2506;0,1517;0,069;0,0138
1-425;(Perkutane) (Nadel-)Biopsie an Lymphknoten, Milz und Thymus;15;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;2;1;6;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0667;0,0667;0,1333;0,0667;0,1333;0,0667;0,40;0,0667;0,00
1-426;(Perkutane) Biopsie an Lymphknoten, Milz und Thymus mit Steuerung durch bildgebende Verfahren;57;0;0;0;0;1;0;0;1;3;4;2;7;6;6;9;3;7;3;3;2;0,00;0,00;0,00;0,00;0,0175;0,00;0,00;0,0175;0,0526;0,0702;0,0351;0,1228;0,1053;0,1053;0,1579;0,0526;0,1228;0,0526;0,0526;0,0351
1-430;Endoskopische Biopsie an respiratorischen Organen;561;0;0;0;0;0;0;2;10;15;16;13;55;61;62;75;87;88;60;12;5;0,00;0,00;0,00;0,00;0,00;0,00;0,0036;0,0178;0,0267;0,0285;0,0232;0,098;0,1087;0,1105;0,1337;0,1551;0,1569;0,107;0,0214;0,0089
1-431;Perkutane (Nadel-)Biopsie an respiratorischen Organen;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,60;0,00;0,20;0,00
1-432;Perkutane Biopsie an respiratorischen Organen mit Steuerung durch bildgebende Verfahren;50;0;0;0;0;0;0;0;0;0;0;1;3;2;5;8;16;10;3;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,06;0,04;0,10;0,16;0,32;0,20;0,06;0,04;0,00
1-440;Endoskopische Biopsie an oberem Verdauungstrakt, Gallengängen und Pankreas;6329;0;1;13;34;81;104;123;127;130;189;291;313;461;459;558;937;1080;741;504;183;0,00;0,0002;0,0021;0,0054;0,0128;0,0164;0,0194;0,0201;0,0205;0,0299;0,046;0,0495;0,0728;0,0725;0,0882;0,148;0,1706;0,1171;0,0796;0,0289
1-441;Perkutane (Nadel-)Biopsie an hepatobiliärem System und Pankreas;72;0;0;0;0;0;1;3;2;4;7;2;3;11;8;8;9;10;2;2;0;0,00;0,00;0,00;0,00;0,00;0,0139;0,0417;0,0278;0,0556;0,0972;0,0278;0,0417;0,1528;0,1111;0,1111;0,125;0,1389;0,0278;0,0278;0,00
1-442;Perkutane Biopsie an hepatobiliärem System und Pankreas mit Steuerung durch bildgebende Verfahren;111;0;0;0;0;0;2;1;8;2;5;9;6;4;11;10;21;20;9;2;1;0,00;0,00;0,00;0,00;0,00;0,018;0,009;0,0721;0,018;0,045;0,0811;0,0541;0,036;0,0991;0,0901;0,1892;0,1802;0,0811;0,018;0,009
1-444;Endoskopische Biopsie am unteren Verdauungstrakt;3470;1;0;5;18;42;61;74;59;72;106;160;198;284;302;338;530;575;364;221;60;0,0003;0,00;0,0014;0,0052;0,0121;0,0176;0,0213;0,017;0,0207;0,0305;0,0461;0,0571;0,0818;0,087;0,0974;0,1527;0,1657;0,1049;0,0637;0,0173
1-445;Endosonographische Feinnadelpunktion am oberen Verdauungstrakt;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1667;0,00;0,1667;0,1667;0,3333;0,00;0,1667;0,00
1-446;Endosonographische Feinnadelpunktion am unteren Verdauungstrakt;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-447;Endosonographische Feinnadelpunktion am Pankreas;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,60;0,00;0,20;0,00
1-449;Andere Biopsie ohne Inzision an anderen Verdauungsorganen;5;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,20;0,00;0,00;0,20;0,00;0,00;0,00;0,20;0,20;0,00;0,00;0,00;0,00
1-460;Transurethrale Biopsie an Harnorganen und Prostata;385;0;0;0;0;0;3;2;1;7;6;12;26;38;48;55;68;69;31;17;2;0,00;0,00;0,00;0,00;0,00;0,0078;0,0052;0,0026;0,0182;0,0156;0,0312;0,0675;0,0987;0,1247;0,1429;0,1766;0,1792;0,0805;0,0442;0,0052
1-461;Perkutan-nephroskopische Biopsie an Harnorganen;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,6667;0,00;0,00;0,00
1-462;Perkutan-zystoskopische Biopsie an Harnorganen und Prostata;16;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;5;1;3;2;0;0,00;0,00;0,00;0,00;0,00;0,0625;0,0625;0,00;0,00;0,00;0,00;0,00;0,0625;0,0625;0,0625;0,3125;0,0625;0,1875;0,125;0,00
1-463;Perkutane (Nadel-)Biopsie an Harnorganen und männlichen Geschlechtsorganen;162;0;0;0;0;0;0;3;0;3;2;2;10;10;25;21;36;32;14;3;1;0,00;0,00;0,00;0,00;0,00;0,00;0,0185;0,00;0,0185;0,0123;0,0123;0,0617;0,0617;0,1543;0,1296;0,2222;0,1975;0,0864;0,0185;0,0062
1-464;Transrektale Biopsie an männlichen Geschlechtsorganen;2307;0;0;0;0;0;0;0;0;0;7;40;113;271;363;435;525;383;126;37;7;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,003;0,0173;0,049;0,1175;0,1573;0,1886;0,2276;0,166;0,0546;0,016;0,003
1-465;Perkutane Biopsie an Harnorganen und männlichen Geschlechtsorganen mit Steuerung durch bildgebende Verfahren;450;0;0;0;0;1;1;0;1;3;2;11;26;48;59;93;96;77;25;4;3;0,00;0,00;0,00;0,00;0,0022;0,0022;0,00;0,0022;0,0067;0,0044;0,0244;0,0578;0,1067;0,1311;0,2067;0,2133;0,1711;0,0556;0,0089;0,0067
1-470;Perkutane (Nadel-)Biopsie an weiblichen Geschlechtsorganen;6;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0,00;0,00;0,00;0,00;0,3333;0,00;0,00;0,1667;0,00;0,00;0,1667;0,00;0,00;0,1667;0,00;0,00;0,00;0,1667;0,00;0,00
1-471;Biopsie ohne Inzision am Endometrium;2046;0;0;0;1;11;59;135;227;221;223;288;212;116;127;83;116;120;69;27;11;0,00;0,00;0,00;0,0005;0,0054;0,0288;0,066;0,1109;0,108;0,109;0,1408;0,1036;0,0567;0,0621;0,0406;0,0567;0,0587;0,0337;0,0132;0,0054
1-472;Biopsie ohne Inzision an der Cervix uteri;436;0;0;0;1;1;7;18;26;41;88;120;66;24;10;15;9;5;4;1;0;0,00;0,00;0,00;0,0023;0,0023;0,0161;0,0413;0,0596;0,094;0,2018;0,2752;0,1514;0,055;0,0229;0,0344;0,0206;0,0115;0,0092;0,0023;0,00
1-473;Biopsie ohne Inzision am graviden Uterus mit Steuerung durch bildgebende Verfahren;4;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,25;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
