viersteller;vierstellername;Anzahl HA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
1-268;Kardiales Mapping;90089;0;18;231;661;1321;1672;1719;1726;2197;3168;5816;8180;9800;11658;11439;15422;10564;3475;888;134;0,00;0,0002;0,0026;0,0073;0,0147;0,0186;0,0191;0,0192;0,0244;0,0352;0,0646;0,0908;0,1088;0,1294;0,127;0,1712;0,1173;0,0386;0,0099;0,0015
1-269;Magnetokardiographie;386;0;0;0;1;2;2;1;6;3;15;10;29;51;58;53;67;53;26;7;2;0,00;0,00;0,00;0,0026;0,0052;0,0052;0,0026;0,0155;0,0078;0,0389;0,0259;0,0751;0,1321;0,1503;0,1373;0,1736;0,1373;0,0674;0,0181;0,0052
1-273;Rechtsherz-Katheteruntersuchung;108240;2195;2030;1230;1043;1036;737;835;991;1141;1954;3599;5493;7295;9283;10098;17732;21152;13722;5706;968;0,0203;0,0188;0,0114;0,0096;0,0096;0,0068;0,0077;0,0092;0,0105;0,0181;0,0333;0,0507;0,0674;0,0858;0,0933;0,1638;0,1954;0,1268;0,0527;0,0089
1-274;Transseptale Linksherz-Katheteruntersuchung;52334;1268;646;372;281;301;317;339;514;634;1227;2615;4116;5223;6602;6764;9697;7099;2947;1182;190;0,0242;0,0123;0,0071;0,0054;0,0058;0,0061;0,0065;0,0098;0,0121;0,0234;0,05;0,0786;0,0998;0,1262;0,1292;0,1853;0,1356;0,0563;0,0226;0,0036
1-275;Transarterielle Linksherz-Katheteruntersuchung;802952;1058;890;597;673;872;1015;1493;2630;5611;13878;32661;55386;74125;89558;93236;142688;155001;89815;35740;6025;0,0013;0,0011;0,0007;0,0008;0,0011;0,0013;0,0019;0,0033;0,007;0,0173;0,0407;0,069;0,0923;0,1115;0,1161;0,1777;0,193;0,1119;0,0445;0,0075
1-276;Angiokardiographie als selbständige Maßnahme;23786;1865;1144;723;615;482;242;267;219;242;362;697;974;1271;1477;1774;2925;3486;3007;1645;369;0,0784;0,0481;0,0304;0,0259;0,0203;0,0102;0,0112;0,0092;0,0102;0,0152;0,0293;0,0409;0,0534;0,0621;0,0746;0,123;0,1466;0,1264;0,0692;0,0155
1-277;Herzkatheteruntersuchung bei funktionell/morphologisch univentrikulärem Herzen;847;301;271;97;76;41;26;11;5;5;3;1;1;1;1;1;0;3;1;1;1;0,3554;0,32;0,1145;0,0897;0,0484;0,0307;0,013;0,0059;0,0059;0,0035;0,0012;0,0012;0,0012;0,0012;0,0012;0,00;0,0035;0,0012;0,0012;0,0012
1-279;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen;105806;461;337;153;141;165;206;290;419;888;1966;4515;7919;10415;12659;12586;18659;19545;10421;3545;516;0,0044;0,0032;0,0014;0,0013;0,0016;0,0019;0,0027;0,004;0,0084;0,0186;0,0427;0,0748;0,0984;0,1196;0,119;0,1764;0,1847;0,0985;0,0335;0,0049
1-313;Ösophagusmanometrie;4580;0;5;3;16;55;98;139;157;197;247;401;451;444;497;450;522;488;242;142;26;0,00;0,0011;0,0007;0,0035;0,012;0,0214;0,0303;0,0343;0,043;0,0539;0,0876;0,0985;0,0969;0,1085;0,0983;0,114;0,1066;0,0528;0,031;0,0057
1-314;Manometrie der Gallen- und Pankreasgänge;12;0;0;0;0;2;0;0;2;1;1;1;0;0;2;0;1;2;0;0;0;0,00;0,00;0,00;0,00;0,1667;0,00;0,00;0,1667;0,0833;0,0833;0,0833;0,00;0,00;0,1667;0,00;0,0833;0,1667;0,00;0,00;0,00
1-315;Anorektale Manometrie;2277;27;59;66;27;25;31;35;62;59;80;137;180;201;216;208;314;280;172;87;11;0,0119;0,0259;0,029;0,0119;0,011;0,0136;0,0154;0,0272;0,0259;0,0351;0,0602;0,0791;0,0883;0,0949;0,0913;0,1379;0,123;0,0755;0,0382;0,0048
1-316;pH-Metrie des Ösophagus;6870;467;879;638;597;340;83;158;177;190;283;407;475;465;486;354;441;317;80;31;2;0,068;0,1279;0,0929;0,0869;0,0495;0,0121;0,023;0,0258;0,0277;0,0412;0,0592;0,0691;0,0677;0,0707;0,0515;0,0642;0,0461;0,0116;0,0045;0,0003
1-317;pH-Metrie des Magens;2989;354;163;139;123;103;48;65;71;82;142;180;203;227;230;195;226;213;121;78;26;0,1184;0,0545;0,0465;0,0412;0,0345;0,0161;0,0217;0,0238;0,0274;0,0475;0,0602;0,0679;0,0759;0,0769;0,0652;0,0756;0,0713;0,0405;0,0261;0,0087
1-318;Dünndarmmanometrie;82;0;0;0;0;1;10;4;7;5;9;17;11;6;2;3;5;2;0;0;0;0,00;0,00;0,00;0,00;0,0122;0,122;0,0488;0,0854;0,061;0,1098;0,2073;0,1341;0,0732;0,0244;0,0366;0,061;0,0244;0,00;0,00;0,00
1-319;Dickdarmmanometrie;55;0;0;0;0;2;5;4;1;4;2;5;6;6;7;3;3;1;5;1;0;0,00;0,00;0,00;0,00;0,0364;0,0909;0,0727;0,0182;0,0727;0,0364;0,0909;0,1091;0,1091;0,1273;0,0545;0,0545;0,0182;0,0909;0,0182;0,00
1-334;Urodynamische Untersuchung;18430;89;208;500;319;314;373;470;491;522;810;1265;1572;1524;1696;1738;2606;2338;1093;418;84;0,0048;0,0113;0,0271;0,0173;0,017;0,0202;0,0255;0,0266;0,0283;0,044;0,0686;0,0853;0,0827;0,092;0,0943;0,1414;0,1269;0,0593;0,0227;0,0046
1-335;Messung des Urethradruckprofils;1277;1;6;38;23;15;10;15;14;14;42;76;121;96;131;130;233;187;87;29;9;0,0008;0,0047;0,0298;0,018;0,0117;0,0078;0,0117;0,011;0,011;0,0329;0,0595;0,0948;0,0752;0,1026;0,1018;0,1825;0,1464;0,0681;0,0227;0,007
1-336;Harnröhrenkalibrierung;6247;38;109;136;69;87;129;132;112;154;226;302;352;406;527;579;908;939;594;332;116;0,0061;0,0174;0,0218;0,011;0,0139;0,0206;0,0211;0,0179;0,0247;0,0362;0,0483;0,0563;0,065;0,0844;0,0927;0,1453;0,1503;0,0951;0,0531;0,0186
1-401;Perkutane Biopsie an intrakraniellem Gewebe mit Steuerung durch bildgebende Verfahren;93;1;1;1;1;0;1;2;2;3;2;9;8;15;12;6;12;10;6;1;0;0,0108;0,0108;0,0108;0,0108;0,00;0,0108;0,0215;0,0215;0,0323;0,0215;0,0968;0,086;0,1613;0,129;0,0645;0,129;0,1075;0,0645;0,0108;0,00
1-404;Perkutane (Nadel-)Biopsie an intraspinalem Gewebe;166;0;0;0;0;1;0;0;5;2;14;10;22;12;12;19;34;18;8;6;3;0,00;0,00;0,00;0,00;0,006;0,00;0,00;0,0301;0,012;0,0843;0,0602;0,1325;0,0723;0,0723;0,1145;0,2048;0,1084;0,0482;0,0361;0,0181
1-405;Perkutane (Nadel-)Biopsie an peripheren Nerven;38;1;0;0;0;0;0;0;0;0;1;1;4;6;7;4;5;8;1;0;0;0,0263;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0263;0,0263;0,1053;0,1579;0,1842;0,1053;0,1316;0,2105;0,0263;0,00;0,00
1-406;Perkutane (Nadel-)Biopsie an endokrinen Organen;486;2;1;1;2;1;1;4;6;12;18;22;41;47;41;49;83;75;44;29;7;0,0041;0,0021;0,0021;0,0041;0,0021;0,0021;0,0082;0,0123;0,0247;0,037;0,0453;0,0844;0,0967;0,0844;0,1008;0,1708;0,1543;0,0905;0,0597;0,0144
1-407;Perkutane Biopsie an endokrinen Organen mit Steuerung durch bildgebende Verfahren;909;5;1;0;3;3;6;11;12;18;16;38;83;91;105;108;131;136;97;39;6;0,0055;0,0011;0,00;0,0033;0,0033;0,0066;0,0121;0,0132;0,0198;0,0176;0,0418;0,0913;0,1001;0,1155;0,1188;0,1441;0,1496;0,1067;0,0429;0,0066
1-408;Endosonographische Biopsie an endokrinen Organen;540;0;0;0;0;1;0;2;1;3;5;18;37;72;67;92;94;95;44;9;0;0,00;0,00;0,00;0,00;0,0019;0,00;0,0037;0,0019;0,0056;0,0093;0,0333;0,0685;0,1333;0,1241;0,1704;0,1741;0,1759;0,0815;0,0167;0,00
1-410;Biopsie ohne Inzision an der Ohrmuschel;398;0;0;0;0;0;2;3;2;2;2;3;11;4;13;17;57;106;88;57;31;0,00;0,00;0,00;0,00;0,00;0,005;0,0075;0,005;0,005;0,005;0,0075;0,0276;0,0101;0,0327;0,0427;0,1432;0,2663;0,2211;0,1432;0,0779
1-411;Biopsie ohne Inzision am äußeren Gehörgang durch Otoskopie;91;0;6;4;2;2;1;1;0;2;1;7;6;5;7;9;6;15;8;5;4;0,00;0,0659;0,044;0,022;0,022;0,011;0,011;0,00;0,022;0,011;0,0769;0,0659;0,0549;0,0769;0,0989;0,0659;0,1648;0,0879;0,0549;0,044
1-412;Biopsie ohne Inzision an Augenlid und Augenbraue;131;0;0;0;1;0;0;1;1;2;1;4;2;4;8;13;26;29;21;13;5;0,00;0,00;0,00;0,0076;0,00;0,00;0,0076;0,0076;0,0153;0,0076;0,0305;0,0153;0,0305;0,0611;0,0992;0,1985;0,2214;0,1603;0,0992;0,0382
1-413;Biopsie ohne Inzision an Konjunktiva und Kornea;208;0;1;2;0;6;8;4;9;9;7;18;17;13;8;21;21;26;25;7;6;0,00;0,0048;0,0096;0,00;0,0288;0,0385;0,0192;0,0433;0,0433;0,0337;0,0865;0,0817;0,0625;0,0385;0,101;0,101;0,125;0,1202;0,0337;0,0288
1-414;Biopsie ohne Inzision an der Nase;1484;6;29;23;19;13;21;30;29;38;57;64;123;155;128;147;176;196;122;81;27;0,004;0,0195;0,0155;0,0128;0,0088;0,0142;0,0202;0,0195;0,0256;0,0384;0,0431;0,0829;0,1044;0,0863;0,0991;0,1186;0,1321;0,0822;0,0546;0,0182
1-415;Biopsie ohne Inzision an der Gesichtshaut;4803;4;9;7;2;6;21;23;36;46;67;100;142;167;253;312;758;1028;878;618;326;0,0008;0,0019;0,0015;0,0004;0,0012;0,0044;0,0048;0,0075;0,0096;0,0139;0,0208;0,0296;0,0348;0,0527;0,065;0,1578;0,214;0,1828;0,1287;0,0679
1-420;Biopsie ohne Inzision an Mund und Mundhöhle;9371;6;6;7;16;35;54;84;131;179;324;679;1231;1481;1524;1112;1112;776;383;166;65;0,0006;0,0006;0,0007;0,0017;0,0037;0,0058;0,009;0,014;0,0191;0,0346;0,0725;0,1314;0,158;0,1626;0,1187;0,1187;0,0828;0,0409;0,0177;0,0069
1-421;Biopsie ohne Inzision am Larynx;9339;0;9;5;4;11;25;47;74;121;242;589;1144;1446;1692;1257;1290;854;371;125;33;0,00;0,001;0,0005;0,0004;0,0012;0,0027;0,005;0,0079;0,013;0,0259;0,0631;0,1225;0,1548;0,1812;0,1346;0,1381;0,0914;0,0397;0,0134;0,0035
1-422;Biopsie ohne Inzision am Pharynx;13945;6;31;20;17;74;59;131;160;229;417;989;1802;2343;2510;1811;1663;1067;425;153;38;0,0004;0,0022;0,0014;0,0012;0,0053;0,0042;0,0094;0,0115;0,0164;0,0299;0,0709;0,1292;0,168;0,18;0,1299;0,1193;0,0765;0,0305;0,011;0,0027
1-424;Biopsie ohne Inzision am Knochenmark;63901;284;1248;950;956;1055;911;986;1091;1120;1651;2912;3932;4797;6120;6308;9773;10300;6306;2756;445;0,0044;0,0195;0,0149;0,015;0,0165;0,0143;0,0154;0,0171;0,0175;0,0258;0,0456;0,0615;0,0751;0,0958;0,0987;0,1529;0,1612;0,0987;0,0431;0,007
1-425;(Perkutane) (Nadel-)Biopsie an Lymphknoten, Milz und Thymus;10996;0;4;3;7;24;80;134;165;166;295;547;934;1235;1426;1421;1833;1538;796;321;67;0,00;0,0004;0,0003;0,0006;0,0022;0,0073;0,0122;0,015;0,0151;0,0268;0,0497;0,0849;0,1123;0,1297;0,1292;0,1667;0,1399;0,0724;0,0292;0,0061
1-426;(Perkutane) Biopsie an Lymphknoten, Milz und Thymus mit Steuerung durch bildgebende Verfahren;32473;0;1;4;10;72;218;356;489;603;918;1724;2766;3766;4406;4234;5586;4539;2062;633;86;0,00;0,00;0,0001;0,0003;0,0022;0,0067;0,011;0,0151;0,0186;0,0283;0,0531;0,0852;0,116;0,1357;0,1304;0,172;0,1398;0,0635;0,0195;0,0026
1-430;Endoskopische Biopsie an respiratorischen Organen;101288;14;50;38;39;252;559;895;1214;1410;2267;4477;7985;11008;13540;13494;18069;15210;7656;2715;396;0,0001;0,0005;0,0004;0,0004;0,0025;0,0055;0,0088;0,012;0,0139;0,0224;0,0442;0,0788;0,1087;0,1337;0,1332;0,1784;0,1502;0,0756;0,0268;0,0039
1-431;Perkutane (Nadel-)Biopsie an respiratorischen Organen;1578;0;0;0;1;3;12;15;11;10;22;60;102;108;188;176;281;271;197;93;28;0,00;0,00;0,00;0,0006;0,0019;0,0076;0,0095;0,007;0,0063;0,0139;0,038;0,0646;0,0684;0,1191;0,1115;0,1781;0,1717;0,1248;0,0589;0,0177
1-432;Perkutane Biopsie an respiratorischen Organen mit Steuerung durch bildgebende Verfahren;17566;0;5;10;10;28;54;75;104;130;258;586;1024;1587;2114;2339;3459;3135;1810;663;175;0,00;0,0003;0,0006;0,0006;0,0016;0,0031;0,0043;0,0059;0,0074;0,0147;0,0334;0,0583;0,0903;0,1203;0,1332;0,1969;0,1785;0,103;0,0377;0,01
1-440;Endoskopische Biopsie an oberem Verdauungstrakt, Gallengängen und Pankreas;725049;262;1665;2336;5906;13188;16236;16696;17232;18983;25286;38216;48023;52480;59094;58678;91108;107527;81116;52791;18226;0,0004;0,0023;0,0032;0,0081;0,0182;0,0224;0,023;0,0238;0,0262;0,0349;0,0527;0,0662;0,0724;0,0815;0,0809;0,1257;0,1483;0,1119;0,0728;0,0251
1-441;Perkutane (Nadel-)Biopsie an hepatobiliärem System und Pankreas;8415;29;39;48;100;144;101;182;205;242;309;558;759;856;945;869;1098;1141;567;195;28;0,0034;0,0046;0,0057;0,0119;0,0171;0,012;0,0216;0,0244;0,0288;0,0367;0,0663;0,0902;0,1017;0,1123;0,1033;0,1305;0,1356;0,0674;0,0232;0,0033
1-442;Perkutane Biopsie an hepatobiliärem System und Pankreas mit Steuerung durch bildgebende Verfahren;30782;47;63;68;121;177;285;382;493;631;998;1783;2593;3024;3793;3548;5002;4612;2272;766;124;0,0015;0,002;0,0022;0,0039;0,0058;0,0093;0,0124;0,016;0,0205;0,0324;0,0579;0,0842;0,0982;0,1232;0,1153;0,1625;0,1498;0,0738;0,0249;0,004
1-444;Endoskopische Biopsie am unteren Verdauungstrakt;272613;218;668;982;2577;6448;8068;7727;7111;7293;9163;14072;17235;19557;22136;22312;35144;40442;29143;17177;5140;0,0008;0,0025;0,0036;0,0095;0,0237;0,0296;0,0283;0,0261;0,0268;0,0336;0,0516;0,0632;0,0717;0,0812;0,0818;0,1289;0,1483;0,1069;0,063;0,0189
1-445;Endosonographische Feinnadelpunktion am oberen Verdauungstrakt;6822;0;0;2;0;5;38;57;80;83;185;329;567;647;859;810;1174;1131;583;233;39;0,00;0,00;0,0003;0,00;0,0007;0,0056;0,0084;0,0117;0,0122;0,0271;0,0482;0,0831;0,0948;0,1259;0,1187;0,1721;0,1658;0,0855;0,0342;0,0057
1-446;Endosonographische Feinnadelpunktion am unteren Verdauungstrakt;726;0;0;2;3;25;18;18;10;32;20;46;66;76;59;75;85;94;59;36;2;0,00;0,00;0,0028;0,0041;0,0344;0,0248;0,0248;0,0138;0,0441;0,0275;0,0634;0,0909;0,1047;0,0813;0,1033;0,1171;0,1295;0,0813;0,0496;0,0028
1-447;Endosonographische Feinnadelpunktion am Pankreas;8049;0;0;1;4;17;57;65;79;123;204;446;628;718;857;887;1409;1399;813;300;42;0,00;0,00;0,0001;0,0005;0,0021;0,0071;0,0081;0,0098;0,0153;0,0253;0,0554;0,078;0,0892;0,1065;0,1102;0,1751;0,1738;0,101;0,0373;0,0052
1-449;Andere Biopsie ohne Inzision an anderen Verdauungsorganen;1154;21;18;11;9;12;30;28;45;33;50;85;95;91;125;80;141;139;73;54;14;0,0182;0,0156;0,0095;0,0078;0,0104;0,026;0,0243;0,039;0,0286;0,0433;0,0737;0,0823;0,0789;0,1083;0,0693;0,1222;0,1205;0,0633;0,0468;0,0121
1-460;Transurethrale Biopsie an Harnorganen und Prostata;11235;5;13;16;25;41;62;92;98;179;239;437;739;880;1126;1284;2031;2039;1198;604;127;0,0004;0,0012;0,0014;0,0022;0,0036;0,0055;0,0082;0,0087;0,0159;0,0213;0,0389;0,0658;0,0783;0,1002;0,1143;0,1808;0,1815;0,1066;0,0538;0,0113
1-461;Perkutan-nephroskopische Biopsie an Harnorganen;140;0;0;4;1;3;0;1;3;3;2;10;6;7;12;18;27;22;11;8;2;0,00;0,00;0,0286;0,0071;0,0214;0,00;0,0071;0,0214;0,0214;0,0143;0,0714;0,0429;0,05;0,0857;0,1286;0,1929;0,1571;0,0786;0,0571;0,0143
1-462;Perkutan-zystoskopische Biopsie an Harnorganen und Prostata;226;0;0;1;0;0;0;1;2;4;3;7;8;14;26;24;50;42;27;14;3;0,00;0,00;0,0044;0,00;0,00;0,00;0,0044;0,0088;0,0177;0,0133;0,031;0,0354;0,0619;0,115;0,1062;0,2212;0,1858;0,1195;0,0619;0,0133
1-463;Perkutane (Nadel-)Biopsie an Harnorganen und männlichen Geschlechtsorganen;3361;1;22;22;47;69;64;82;90;102;137;187;258;327;402;404;533;411;137;61;5;0,0003;0,0065;0,0065;0,014;0,0205;0,019;0,0244;0,0268;0,0303;0,0408;0,0556;0,0768;0,0973;0,1196;0,1202;0,1586;0,1223;0,0408;0,0181;0,0015
1-464;Transrektale Biopsie an männlichen Geschlechtsorganen;16639;0;0;1;0;2;0;7;4;16;30;216;625;1448;2385;2973;4074;3019;1264;478;97;0,00;0,00;0,0001;0,00;0,0001;0,00;0,0004;0,0002;0,001;0,0018;0,013;0,0376;0,087;0,1433;0,1787;0,2448;0,1814;0,076;0,0287;0,0058
1-465;Perkutane Biopsie an Harnorganen und männlichen Geschlechtsorganen mit Steuerung durch bildgebende Verfahren;12220;3;52;97;147;255;310;441;490;479;667;933;1108;1183;1375;1339;1583;1183;451;110;14;0,0002;0,0043;0,0079;0,012;0,0209;0,0254;0,0361;0,0401;0,0392;0,0546;0,0764;0,0907;0,0968;0,1125;0,1096;0,1295;0,0968;0,0369;0,009;0,0011
