kategorie;kategoriename;Anzahl HA;VwdMw;stdVwd;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
A15;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;3493;30,5099;33,9717;17;60;30;27;197;318;316;266;230;236;236;288;236;209;169;180;202;164;91;21;0,0049;0,0172;0,0086;0,0077;0,0564;0,091;0,0905;0,0762;0,0658;0,0676;0,0676;0,0825;0,0676;0,0598;0,0484;0,0515;0,0578;0,047;0,0261;0,006
A16;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert;1503;12,5176;14,6239;14;62;67;40;111;129;120;105;86;64;82;104;84;80;69;87;89;61;40;9;0,0093;0,0413;0,0446;0,0266;0,0739;0,0858;0,0798;0,0699;0,0572;0,0426;0,0546;0,0692;0,0559;0,0532;0,0459;0,0579;0,0592;0,0406;0,0266;0,006
A17;Tuberkulose des Nervensystems;138;27,6014;40,158;0;6;3;1;3;10;13;7;7;8;8;13;5;12;2;21;12;5;2;0;0,00;0,0435;0,0217;0,0072;0,0217;0,0725;0,0942;0,0507;0,0507;0,058;0,058;0,0942;0,0362;0,087;0,0145;0,1522;0,087;0,0362;0,0145;0,00
A18;Tuberkulose sonstiger Organe;1031;15,7265;19,3792;4;15;8;7;68;122;124;77;71;72;53;53;48;47;54;50;82;43;24;9;0,0039;0,0145;0,0078;0,0068;0,066;0,1183;0,1203;0,0747;0,0689;0,0698;0,0514;0,0514;0,0466;0,0456;0,0524;0,0485;0,0795;0,0417;0,0233;0,0087
A19;Miliartuberkulose;181;27,9116;29,2131;0;1;1;2;7;23;9;12;20;9;13;8;12;2;12;16;10;17;7;0;0,00;0,0055;0,0055;0,011;0,0387;0,1271;0,0497;0,0663;0,1105;0,0497;0,0718;0,0442;0,0663;0,011;0,0663;0,0884;0,0552;0,0939;0,0387;0,00
A20;Pest;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A21;Tularämie;13;9,4615;5,6364;0;1;1;0;1;2;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0,00;0,0769;0,0769;0,00;0,0769;0,1538;0,00;0,0769;0,00;0,0769;0,0769;0,0769;0,0769;0,0769;0,0769;0,0769;0,00;0,00;0,00;0,00
A22;Anthrax [Milzbrand];2;1,00;0,00;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00
A23;Brucellose;102;7,0196;8,2977;1;1;2;4;6;11;13;10;17;10;7;4;0;2;6;5;2;1;0;0;0,0098;0,0098;0,0196;0,0392;0,0588;0,1078;0,1275;0,098;0,1667;0,098;0,0686;0,0392;0,00;0,0196;0,0588;0,049;0,0196;0,0098;0,00;0,00
A24;Rotz [Malleus] und Melioidose [Pseudorotz];18;8,9444;8,0328;0;0;0;0;1;0;1;0;0;0;0;1;3;2;5;3;0;0;2;0;0,00;0,00;0,00;0,00;0,0556;0,00;0,0556;0,00;0,00;0,00;0,00;0,0556;0,1667;0,1111;0,2778;0,1667;0,00;0,00;0,1111;0,00
A25;Rattenbisskrankheiten;4;8,25;4,7871;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,25;0,00;0,25;0,00;0,00;0,25;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A26;Erysipeloid;255;5,40;4,8737;0;17;22;10;10;10;10;7;5;12;12;20;25;12;13;25;20;11;4;10;0,00;0,0667;0,0863;0,0392;0,0392;0,0392;0,0392;0,0275;0,0196;0,0471;0,0471;0,0784;0,098;0,0471;0,051;0,098;0,0784;0,0431;0,0157;0,0392
A27;Leptospirose;127;11,5354;24,3909;0;0;1;4;10;12;12;6;11;11;9;12;12;10;5;5;5;2;0;0;0,00;0,00;0,0079;0,0315;0,0787;0,0945;0,0945;0,0472;0,0866;0,0866;0,0709;0,0945;0,0945;0,0787;0,0394;0,0394;0,0394;0,0157;0,00;0,00
A28;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert;366;6,8607;6,3163;0;18;17;25;14;15;24;9;15;23;28;33;24;21;30;30;24;6;5;5;0,00;0,0492;0,0464;0,0683;0,0383;0,041;0,0656;0,0246;0,041;0,0628;0,0765;0,0902;0,0656;0,0574;0,082;0,082;0,0656;0,0164;0,0137;0,0137
A30;Lepra [Aussatz];10;8,50;4,1433;0;0;0;0;4;0;1;0;2;0;0;3;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,40;0,00;0,10;0,00;0,20;0,00;0,00;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A31;Infektion durch sonstige Mykobakterien;1029;11,7609;12,8085;1;53;7;8;10;7;18;19;25;35;75;94;116;127;98;138;102;66;21;9;0,001;0,0515;0,0068;0,0078;0,0097;0,0068;0,0175;0,0185;0,0243;0,034;0,0729;0,0914;0,1127;0,1234;0,0952;0,1341;0,0991;0,0641;0,0204;0,0087
A32;Listeriose;446;19,6121;18,3072;1;2;1;1;5;5;4;4;3;13;22;23;27;31;37;66;86;56;45;14;0,0022;0,0045;0,0022;0,0022;0,0112;0,0112;0,009;0,009;0,0067;0,0291;0,0493;0,0516;0,0605;0,0695;0,083;0,148;0,1928;0,1256;0,1009;0,0314
A33;Tetanus neonatorum;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A34;Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes;-999;-999,00;-999,00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
A35;Sonstiger Tetanus;9;47,1111;35,5051;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3;0;4;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1111;0,00;0,00;0,00;0,1111;0,00;0,00;0,3333;0,00;0,4444;0,00
A36;Diphtherie;7;7,8571;3,2878;0;1;0;0;1;1;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0,00;0,1429;0,00;0,00;0,1429;0,1429;0,1429;0,00;0,1429;0,00;0,00;0,00;0,00;0,2857;0,00;0,00;0,00;0,00;0,00;0,00
A37;Keuchhusten;859;7,0058;5,5566;324;40;20;31;29;9;14;15;19;23;33;40;35;39;37;54;58;20;10;9;0,3772;0,0466;0,0233;0,0361;0,0338;0,0105;0,0163;0,0175;0,0221;0,0268;0,0384;0,0466;0,0407;0,0454;0,0431;0,0629;0,0675;0,0233;0,0116;0,0105
A38;Scharlach;728;3,1195;1,9995;10;396;190;49;18;10;13;14;12;5;3;2;2;1;2;0;0;1;0;0;0,0137;0,544;0,261;0,0673;0,0247;0,0137;0,0179;0,0192;0,0165;0,0069;0,0041;0,0027;0,0027;0,0014;0,0027;0,00;0,00;0,0014;0,00;0,00
A39;Meningokokkeninfektion;335;12,80;14,7514;43;53;22;2;47;25;14;12;7;8;16;9;15;10;11;15;8;12;5;1;0,1284;0,1582;0,0657;0,006;0,1403;0,0746;0,0418;0,0358;0,0209;0,0239;0,0478;0,0269;0,0448;0,0299;0,0328;0,0448;0,0239;0,0358;0,0149;0,003
A40;Streptokokkensepsis;10083;14,1962;13,4347;127;99;48;26;32;40;67;91;137;177;330;433;604;816;883;1494;1740;1459;1050;430;0,0126;0,0098;0,0048;0,0026;0,0032;0,004;0,0066;0,009;0,0136;0,0176;0,0327;0,0429;0,0599;0,0809;0,0876;0,1482;0,1726;0,1447;0,1041;0,0426
A41;Sonstige Sepsis;105638;12,435;11,5426;904;623;331;285;606;705;760;905;1066;1560;2681;4265;5446;7717;8714;15028;19362;16102;12553;6025;0,0086;0,0059;0,0031;0,0027;0,0057;0,0067;0,0072;0,0086;0,0101;0,0148;0,0254;0,0404;0,0516;0,0731;0,0825;0,1423;0,1833;0,1524;0,1188;0,057
A42;Aktinomykose;233;12,9957;16,4805;0;0;3;2;6;3;5;6;7;13;14;24;26;25;27;20;24;20;5;3;0,00;0,00;0,0129;0,0086;0,0258;0,0129;0,0215;0,0258;0,03;0,0558;0,0601;0,103;0,1116;0,1073;0,1159;0,0858;0,103;0,0858;0,0215;0,0129
A43;Nokardiose;31;18,4516;19,2282;0;0;0;1;0;0;0;0;0;3;1;2;4;2;2;7;9;0;0;0;0,00;0,00;0,00;0,0323;0,00;0,00;0,00;0,00;0,00;0,0968;0,0323;0,0645;0,129;0,0645;0,0645;0,2258;0,2903;0,00;0,00;0,00
A44;Bartonellose;35;8,2857;8,0131;1;5;8;10;2;0;0;2;2;0;1;0;3;0;0;0;1;0;0;0;0,0286;0,1429;0,2286;0,2857;0,0571;0,00;0,00;0,0571;0,0571;0,00;0,0286;0,00;0,0857;0,00;0,00;0,00;0,0286;0,00;0,00;0,00
A46;Erysipel [Wundrose];65851;8,2787;6,3549;19;281;343;345;567;921;1190;1522;1921;2804;4112;5043;5276;5507;4887;7071;8436;6942;5550;3114;0,0003;0,0043;0,0052;0,0052;0,0086;0,014;0,0181;0,0231;0,0292;0,0426;0,0624;0,0766;0,0801;0,0836;0,0742;0,1074;0,1281;0,1054;0,0843;0,0473
A48;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert;1069;13,3377;14,7673;20;34;12;21;39;15;18;20;25;47;74;103;118;114;91;98;96;68;40;16;0,0187;0,0318;0,0112;0,0196;0,0365;0,014;0,0168;0,0187;0,0234;0,044;0,0692;0,0964;0,1104;0,1066;0,0851;0,0917;0,0898;0,0636;0,0374;0,015
A49;Bakterielle Infektion nicht näher bezeichneter Lokalisation;14107;8,0133;6,9339;328;724;467;400;389;247;237;195;213;271;423;530;699;902;978;1727;2023;1544;1205;605;0,0233;0,0513;0,0331;0,0284;0,0276;0,0175;0,0168;0,0138;0,0151;0,0192;0,03;0,0376;0,0495;0,0639;0,0693;0,1224;0,1434;0,1094;0,0854;0,0429
A50;Syphilis connata;17;11,00;5,5565;13;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0,7647;0,0588;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0588;0,0588;0,00;0,00;0,00;0,0588;0,00;0,00;0,00;0,00
A51;Frühsyphilis;345;4,9014;5,9261;0;0;0;0;14;29;57;51;39;38;51;29;14;4;11;6;2;0;0;0;0,00;0,00;0,00;0,00;0,0406;0,0841;0,1652;0,1478;0,113;0,1101;0,1478;0,0841;0,0406;0,0116;0,0319;0,0174;0,0058;0,00;0,00;0,00
A52;Spätsyphilis;373;12,0295;8,8701;0;0;0;0;0;6;28;28;25;38;56;70;36;20;19;26;15;3;3;0;0,00;0,00;0,00;0,00;0,00;0,0161;0,0751;0,0751;0,067;0,1019;0,1501;0,1877;0,0965;0,0536;0,0509;0,0697;0,0402;0,008;0,008;0,00
A53;Sonstige und nicht näher bezeichnete Syphilis;178;5,0955;5,9124;0;0;0;1;10;14;32;19;18;20;14;25;11;5;4;4;1;0;0;0;0,00;0,00;0,00;0,0056;0,0562;0,0787;0,1798;0,1067;0,1011;0,1124;0,0787;0,1404;0,0618;0,0281;0,0225;0,0225;0,0056;0,00;0,00;0,00
A54;Gonokokkeninfektion;137;4,9124;3,377;4;1;1;2;15;28;24;16;14;12;9;5;3;2;1;0;0;0;0;0;0,0292;0,0073;0,0073;0,0146;0,1095;0,2044;0,1752;0,1168;0,1022;0,0876;0,0657;0,0365;0,0219;0,0146;0,0073;0,00;0,00;0,00;0,00;0,00
A55;Lymphogranuloma inguinale (venereum) durch Chlamydien;10;9,60;3,534;0;0;0;0;1;0;1;4;0;1;2;0;0;1;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,10;0,00;0,10;0,40;0,00;0,10;0,20;0,00;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00
A56;Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten;385;4,7455;2,7637;0;1;0;4;106;111;71;38;23;15;9;5;1;0;0;1;0;0;0;0;0,00;0,0026;0,00;0,0104;0,2753;0,2883;0,1844;0,0987;0,0597;0,039;0,0234;0,013;0,0026;0,00;0,00;0,0026;0,00;0,00;0,00;0,00
A57;Ulcus molle (venereum);8;9,75;7,1264;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;4;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,125;0,00;0,125;0,00;0,00;0,00;0,00;0,00;0,125;0,125;0,50;0,00;0,00
A58;Granuloma venereum (inguinale);5;2,00;1,00;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,20;0,20;0,20;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A59;Trichomoniasis;12;4,25;2,5271;0;0;0;0;1;3;0;2;3;0;1;1;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,0833;0,25;0,00;0,1667;0,25;0,00;0,0833;0,0833;0,0833;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A60;Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex];1242;4,9702;3,0786;0;3;0;17;393;313;136;85;56;53;31;51;22;16;10;18;11;17;8;2;0,00;0,0024;0,00;0,0137;0,3164;0,252;0,1095;0,0684;0,0451;0,0427;0,025;0,0411;0,0177;0,0129;0,0081;0,0145;0,0089;0,0137;0,0064;0,0016
A63;Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert;4;2,50;2,3805;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,25;0,25;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A64;Durch Geschlechtsverkehr übertragene Krankheiten, nicht näher bezeichnet;4;2,00;1,1547;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A65;Nichtvenerische Syphilis;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A66;Frambösie;2;16,00;4,2426;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A67;Pinta [Carate];0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A68;Rückfallfieber;22;7,1364;6,4608;0;1;1;1;2;1;6;1;0;3;2;0;1;1;0;1;0;1;0;0;0,00;0,0455;0,0455;0,0455;0,0909;0,0455;0,2727;0,0455;0,00;0,1364;0,0909;0,00;0,0455;0,0455;0,00;0,0455;0,00;0,0455;0,00;0,00
A69;Sonstige Spirochäteninfektionen;5738;9,0816;6,8349;3;172;666;501;257;156;193;191;209;277;368;423;443;422;339;494;378;174;65;7;0,0005;0,03;0,1161;0,0873;0,0448;0,0272;0,0336;0,0333;0,0364;0,0483;0,0641;0,0737;0,0772;0,0735;0,0591;0,0861;0,0659;0,0303;0,0113;0,0012
A70;Infektionen durch Chlamydia psittaci;16;11,00;8,4222;0;0;0;0;0;0;1;0;0;1;1;1;2;3;0;0;6;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0625;0,00;0,00;0,0625;0,0625;0,0625;0,125;0,1875;0,00;0,00;0,375;0,00;0,0625;0,00
A71;Trachom;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A74;Sonstige Krankheiten durch Chlamydien;179;6,6145;4,9957;5;3;4;10;18;17;17;18;9;8;14;12;12;7;6;9;6;3;1;0;0,0279;0,0168;0,0223;0,0559;0,1006;0,095;0,095;0,1006;0,0503;0,0447;0,0782;0,067;0,067;0,0391;0,0335;0,0503;0,0335;0,0168;0,0056;0,00
A75;Fleckfieber;8;3,75;2,8158;0;0;0;0;2;0;3;1;0;1;0;0;0;0;1;0;0;0;0;0;0,00;0,00;0,00;0,00;0,25;0,00;0,375;0,125;0,00;0,125;0,00;0,00;0,00;0,00;0,125;0,00;0,00;0,00;0,00;0,00
A77;Zeckenbissfieber [Rickettsiosen, durch Zecken übertragen];9;4,6667;2,7839;0;0;1;0;0;0;0;1;1;0;1;1;2;1;0;1;0;0;0;0;0,00;0,00;0,1111;0,00;0,00;0,00;0,00;0,1111;0,1111;0,00;0,1111;0,1111;0,2222;0,1111;0,00;0,1111;0,00;0,00;0,00;0,00
A78;Q-Fieber;99;8,9495;11,0115;0;0;0;1;1;6;10;7;8;8;6;12;13;9;8;6;2;2;0;0;0,00;0,00;0,00;0,0101;0,0101;0,0606;0,101;0,0707;0,0808;0,0808;0,0606;0,1212;0,1313;0,0909;0,0808;0,0606;0,0202;0,0202;0,00;0,00
A79;Sonstige Rickettsiosen;21;8,4762;6,5469;0;0;0;0;0;1;2;1;1;2;2;5;2;2;1;0;2;0;0;0;0,00;0,00;0,00;0,00;0,00;0,0476;0,0952;0,0476;0,0476;0,0952;0,0952;0,2381;0,0952;0,0952;0,0476;0,00;0,0952;0,00;0,00;0,00
A80;Akute Poliomyelitis [Spinale Kinderlähmung];0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A81;Atypische Virusinfektionen des Zentralnervensystems;606;15,2591;15,7831;0;8;2;3;8;4;16;23;30;34;55;50;46;58;64;90;71;33;8;3;0,00;0,0132;0,0033;0,005;0,0132;0,0066;0,0264;0,038;0,0495;0,0561;0,0908;0,0825;0,0759;0,0957;0,1056;0,1485;0,1172;0,0545;0,0132;0,005
A82;Tollwut [Rabies];2;3,50;0,7071;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
A83;Virusenzephalitis, durch Moskitos [Stechmücken] übertragen;-999;-999,00;-999,00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
A84;Virusenzephalitis, durch Zecken übertragen;336;13,8095;26,3376;0;4;9;9;5;7;16;21;15;29;45;42;24;32;24;24;24;6;0;0;0,00;0,0119;0,0268;0,0268;0,0149;0,0208;0,0476;0,0625;0,0446;0,0863;0,1339;0,125;0,0714;0,0952;0,0714;0,0714;0,0714;0,0179;0,00;0,00
A85;Sonstige Virusenzephalitis, anderenorts nicht klassifiziert;222;13,7297;13,3508;15;21;16;15;11;5;13;10;5;3;8;9;7;16;16;13;22;7;8;2;0,0676;0,0946;0,0721;0,0676;0,0495;0,0225;0,0586;0,045;0,0225;0,0135;0,036;0,0405;0,0315;0,0721;0,0721;0,0586;0,0991;0,0315;0,036;0,009
A86;Virusenzephalitis, nicht näher bezeichnet;675;12,2993;9,8693;5;12;21;12;26;32;33;36;37;44;45;40;31;53;36;58;70;53;24;7;0,0074;0,0178;0,0311;0,0178;0,0385;0,0474;0,0489;0,0533;0,0548;0,0652;0,0667;0,0593;0,0459;0,0785;0,0533;0,0859;0,1037;0,0785;0,0356;0,0104
A87;Virusmeningitis;3183;7,0763;5,0433;169;144;270;138;200;302;332;372;281;192;174;154;112;78;68;80;61;35;17;4;0,0531;0,0452;0,0848;0,0434;0,0628;0,0949;0,1043;0,1169;0,0883;0,0603;0,0547;0,0484;0,0352;0,0245;0,0214;0,0251;0,0192;0,011;0,0053;0,0013
A88;Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert;38;6,5263;6,2026;6;10;3;6;3;0;0;1;0;1;2;2;0;1;0;2;0;1;0;0;0,1579;0,2632;0,0789;0,1579;0,0789;0,00;0,00;0,0263;0,00;0,0263;0,0526;0,0526;0,00;0,0263;0,00;0,0526;0,00;0,0263;0,00;0,00
A89;Virusinfektion des Zentralnervensystems, nicht näher bezeichnet;13;9,6154;7,1594;0;0;0;0;1;2;1;1;0;0;0;1;3;0;2;1;1;0;0;0;0,00;0,00;0,00;0,00;0,0769;0,1538;0,0769;0,0769;0,00;0,00;0,00;0,0769;0,2308;0,00;0,1538;0,0769;0,0769;0,00;0,00;0,00
A90;Dengue-Fieber [Klassische Dengue];208;4,3558;4,5416;0;0;1;3;10;33;56;30;16;7;16;19;7;3;2;5;0;0;0;0;0,00;0,00;0,0048;0,0144;0,0481;0,1587;0,2692;0,1442;0,0769;0,0337;0,0769;0,0913;0,0337;0,0144;0,0096;0,024;0,00;0,00;0,00;0,00
