drg;name;AnzahlHA;mwVwd;vwdStd;AnzKLHA;AntKLHA;AnzLLHA;AntLLHA
A04C;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom, HLA-verschieden oder bei Plasmozytom, mit Graft-versus-host-Krankheit Grad III und IV, ohne In-vitro-Aufbereitung, Alter > 15 Jahre;547;51,9506;28,70;4;0,0073;136;0,2486
A04D;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom, ohne In-vitro-Aufbereitung, Alter > 15 Jahre, ohne Graft-versus-host-Krankheit Grad III und IV, HLA-identisch;1687;41,5857;18,5026;1;0,0006;230;0,1363
A04E;Knochenmarktransplantation / Stammzelltransfusion, allogen, bei Plasmozytom, ohne Graft-versus-host-Krankheit Grad III und IV, Alter > 15 Jahre;147;36,8299;11,3797;0;0,00;24;0,1633
A05A;Herztransplantation mit Beatmung > 179 Stunden oder Alter < 16 Jahre;88;126,7727;83,5735;2;0,0227;59;0,6705
A05B;Herztransplantation ohne Beatmung > 179 Stunden, Alter > 15 Jahre;174;116,0345;74,4137;6;0,0345;112;0,6437
A06A;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, mit hochkomplexem Eingriff oder intensivmedizinischer Komplexbehandlung > 3920 / 3680 Aufwandspunkte;385;137,1896;55,749;0;0,00;158;0,4104
A06B;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 3920 / 3680 Aufwandspunkte oder ohne komplexe OR-Prozedur, ohne Polytrauma;1161;120,2541;45,1334;0;0,00;441;0,3798
A07A;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma und int. Komplexbehandlung > 3920 / 3680 P. oder mit hochkomplexem oder dreizeitigem Eingriff;740;92,4568;41,7252;0;0,00;294;0,3973
A07B;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur und komplizierender Konstellation oder mit Polytrauma oder Alter < 16 Jahre;916;71,0546;25,7984;0;0,00;221;0,2413
A07C;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 Aufwandspunkte, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, mit intensivmedizinischer Komplexbehandlung > 2352 / 2208 Aufwandspunkte;3200;74,6691;29,6213;0;0,00;844;0,2638
A07D;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne intensivmedizinische Komplexbehandlung > 2352 / 2208 Aufwandspunkte, mit komplexer Diagnose;654;71,3272;30,2842;0;0,00;220;0,3364
A07E;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne intensivmedizinische Komplexbehandlung > 2352 / 2208 Aufwandspunkte, ohne komplexe Diagnose;1126;65,833;26,0809;0;0,00;251;0,2229
A09A;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352 / 2208 P., mit angeb. Fehlbild. od. Tumorerkr., Alter < 3 J. od. mit kompl. OR-Proz. oder Polytrauma od. int. Komplexbeh. > 3430 / 3220 P. und hochkompl. Eingr. od. Alter < 16 J.;549;52,6321;30,7489;0;0,00;128;0,2332
A09B;Beatmung > 499 Stunden oder > 249 Stunden mit intensivmed. Komplexbehandlung > 2352 / 2208 Aufwandsp., mit kompl. OR-Prozedur od. Polytrauma od. intensivmed. Komplexbehandlung > 3430 / 3220 Aufwandsp., mit sehr kompl. Eingriff od. kompliz. Konstellation;4175;52,0857;30,9665;0;0,00;1134;0,2716
A09C;Beatmung > 499 Stunden oder > 249 Stunden mit intensivmedizinischer Komplexbehandlung > 2352 / 2208 Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma oder int. Komplexbeh. > 2352 / 2208 P. oder kompliz. Konstellation oder Alter < 16 Jahre;7647;47,9368;25,9985;0;0,00;1907;0,2494
A09D;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 1470 / 1380 und < 2353 / 2209 Aufwandspunkte;4305;46,0706;19,6886;0;0,00;757;0,1758
A09E;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1470 / 1380 Aufwandspunkte, mit komplexer Diagnose oder Prozedur;2365;42,5108;25,2411;0;0,00;483;0,2042
A09F;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1470 / 1380 Aufwandspunkte, ohne komplexe Diagnose, ohne komplexe Prozedur;3837;39,3088;18,9663;0;0,00;612;0,1595
A11A;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 Aufwandspunkte, mit hochkompl. Eingriff oder Alter < 2 J. bei angeborener Fehlbildung od. mit kompliz. Konstellation und best. OR-Prozedur, Alter < 16 J.;1588;51,6738;34,2975;18;0,0113;503;0,3168
A11B;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 Aufwandspunkte, mit komplexer OR-Prozedur und Alter < 16 Jahre oder kompliz. Konstellation, oder bei Tumor oder angeborener Fehlbildung, Alter < 3 Jahre;2923;29,4721;21,5903;0;0,00;497;0,17
A11C;Beatmung > 249 Stunden, ohne komplexe OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 1764 / 1656 Aufwandspunkte, mit komplizierender Konstellation und bestimmter OR-Prozedur, Alter > 15 Jahre;1198;36,3197;27,8516;0;0,00;301;0,2513
A11D;Beatmung > 249 Stunden, mit komplexer OR-Prozedur, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 1764 / 1656 Aufwandspunkte, ohne komplizierende Konstellation, Alter > 15 Jahre;4976;29,1588;21,5173;0;0,00;812;0,1632
A11E;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 Aufwandspunkte, mit bestimmter OR-Prozedur oder kompliz. Konstellation oder int. Komplexbeh. > 1176 / 1104 P. oder Alter < 6 Jahre;7964;31,7565;18,7443;0;0,00;1450;0,1821
A11F;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 Aufwandspunkte, ohne komplizierende Konstellation, Alter > 5 Jahre, mit komplexer Diagnose oder Prozedur oder Alter < 16 Jahre;5393;27,306;21,1033;0;0,00;877;0,1626
A11G;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 Aufwandspunkte, ohne komplizierende Konstellation, Alter > 15 Jahre, ohne komplexe Diagnose oder Prozedur, mit äußerst schweren CC;3566;26,5625;19,7843;0;0,00;623;0,1747
A11H;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 Aufwandspunkte, ohne komplizierende Konstellation, Alter > 15 Jahre, ohne komplexe Diagnose oder Prozedur, ohne äußerst schwere CC;1699;22,7775;15,7301;0;0,00;214;0,126
A13A;Beatmung > 95 Stunden mit hochkomplexem Eingriff od. mit komplexer OR-Prozedur u. intensivmed. Komplexbeh.> 1176 / 1104 P. od. mit kompliz. Konst. u. best. OR-Proz. und Alter < 16 J. od. intensivmed. Komplexbeh. > 1176 / 1104 P. bei Lymphom und Leukämie;1517;32,0613;25,7581;113;0,0745;341;0,2248
A13B;Beatmung > 95 Stunden mit komplexer OR-Prozedur und sehr komplexem Eingriff oder Eingriff bei angeborener Fehlbildung, Alter < 10 Jahre, oder mit intensivmed. Komplexbehandlung > 1176 / 1104 Punkte und komplizierender Konstellation;3258;23,299;20,886;376;0,1154;510;0,1565
A13C;Beatmung > 95 Stunden ohne komplexe OR-Prozedur, mit bestimmter OR-Prozedur und kompliz. Konstellation, Alter > 15 J. oder mit intensivmed. Komplexbehandlung > 1176 / 1104 Punkte od. Alter < 16 J., ohne Lymphom und Leukämie, ohne kompliz. Konstellation;1352;34,057;23,6782;2;0,0015;311;0,23
A13D;Beatmung > 95 Stunden mit komplexer OR-Prozedur, ohne hochkomplexen oder sehr komplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 Aufwandspunkte, ohne komplizierende Konstellation, ohne Eingriff bei angeborener Fehlbildung;6823;21,6524;17,7457;371;0,0544;961;0,1408
A13E;Beatmung > 95 Stunden, ohne komplexe OR-Prozedur, mit bestimmter OR-Prozedur oder komplizierender Konstellation oder mit intensivmedizinischer Komplexbehandlung > 588 / 552 Aufwandspunkte und < 1177 / 1105 Aufwandspunkte oder Alter < 16 Jahre;9952;25,3341;17,6449;201;0,0202;1501;0,1508
A13F;Beatmung > 95 Stunden, ohne komplexe OR-Prozedur, verstorben oder verlegt < 9 Tage oder ohne bestimmte OR-Proz., ohne kompliz. Konstellation, ohne int. Komplexbehandlung > 588 / 552 Aufwandspunkte, Alter > 15 Jahre, mit komplexer Diagnose oder Prozedur;10739;15,9922;16,0355;0;0,00;1302;0,1212
A13G;Beatmung > 95 Stunden, ohne komplexe OR-Prozedur, verstorben oder verlegt < 9 Tage oder ohne bestimmte OR-Proz., ohne kompliz. Konst., ohne int. Komplexbeh. > 588 / 552 P., Alter > 15 Jahre, ohne komplexe Diagnose oder Prozedur, mit äußerst schweren CC;8664;15,8435;13,9451;0;0,00;897;0,1035
A13H;Beatmung > 95 Stunden, ohne komplexe OR-Prozedur, ohne bestimmte OR-Prozedur, ohne kompliz. Konstellation, ohne int. Komplexbeh. > 588 / 552 P., Alter > 15 Jahre, ohne komplexe Diagnose oder Prozedur, ohne äußerst schwere CC;8261;13,9038;9,2169;1;0,0001;676;0,0818
A15A;Knochenmarktransplantation / Stammzelltransfusion, autogen, mit zweiter Knochenmarktransplantation / Stammzelltransfusion im selben Aufenthalt;2;50,50;0,7071;0;0,00;0;0,00
A15B;Knochenmarktransplantation / Stammzelltransfusion, autogen, außer bei Plasmozytom, Alter < 16 Jahre;114;31,6754;27,0157;9;0,0789;14;0,1228
A15C;Knochenmarktransplantation / Stammzelltransfusion, autogen, außer bei Plasmozytom, Alter > 15 Jahre;1579;25,1925;11,4219;32;0,0203;180;0,114
A15D;Knochenmarktransplantation / Stammzelltransfusion, autogen, bei Plasmozytom;2468;20,7046;6,2546;1;0,0004;178;0,0721
A16A;Transplantation von Darm oder Pankreas;17;35,6471;25,1817;0;0,00;0;0,00
A16B;Injektion von Pankreasgewebe;4;27,00;11,6333;0;0,00;0;0,00
A17A;Nierentransplantation mit postoperativem Versagen des Nierentransplantates oder Alter < 16 Jahre oder AB0-inkompatible Transplantation;717;27,6248;15,0045;5;0,007;77;0,1074
A17B;Nierentransplantation ohne postoperatives Versagen des Nierentransplantates, Alter > 15 Jahre oder ohne AB0-inkompatible Transplantation;1236;18,2654;8,6334;3;0,0024;125;0,1011
A18Z;Beatmung > 999 Stunden und Transplantation von Leber, Lunge, Herz und Knochenmark oder Stammzelltransfusion;134;159,3284;95,5395;0;0,00;85;0,6343
A22Z;Korrektureingriff bei Doppelfehlbildung;0;0,00;NULL;0;0,00;0;0,00
A36A;Intensivmedizinische Komplexbehandlung > 1764 / 1656 Aufwandspunkte bei bestimmten Krankheiten und Störungen oder intensivmedizinische Komplexbehandlung > 588 / 552 Aufwandspunkte bei Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen;937;58,3052;33,5221;10;0,0107;267;0,285
A36B;Intensivmedizinische Komplexbehandlung > 588 / 552 und < 1765 / 1657 Aufwandspunkte bei bestimmten Krankheiten und Störungen oder komplizierende Konstellation bei Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen;2342;36,199;27,019;72;0,0307;498;0,2126
A42A;Stammzellentnahme bei Eigenspender mit Chemotherapie;1148;17,4643;7,5889;37;0,0322;48;0,0418
A42B;Stammzellentnahme bei Eigenspender ohne Chemotherapie, Alter < 16 Jahre;115;3,8783;2,9946;17;0,1478;10;0,087
A42C;Stammzellentnahme bei Eigenspender ohne Chemotherapie, Alter > 15 Jahre;2038;4,7502;4,2154;395;0,1938;108;0,053
A43Z;Frührehabilitation bei Wachkoma und Locked-in-Syndrom;442;70,9253;46,5951;0;0,00;0;0,00
A60A;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, mit Entfernung eines Organtransplantates oder komplexer OR-Prozedur oder äußerst schweren CC;1168;18,1918;17,5342;125;0,107;181;0,155
A60B;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, ohne Entfernung eines Organtransplantates, ohne komplexe OR-Prozedur, ohne äußerst schwere CC, Alter < 16 Jahre;215;6,893;7,2539;0;0,00;29;0,1349
A60C;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, ohne Entfernung eines Organtransplantates, ohne komplexe OR-Prozedur, ohne äußerst schwere CC, Alter > 15 Jahre;5386;7,5048;6,8972;1046;0,1942;390;0,0724
A60D;Versagen und Abstoßung eines Organtransplantates, ein Belegungstag;2716;1,00;0,00;0;0,00;0;0,00
A61A;Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen, mit äußerst schweren CC;330;17,903;17,184;79;0,2394;42;0,1273
A61B;Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen, ohne äußerst schwere CC;3656;2,6113;4,7298;2453;0,671;212;0,058
A62Z;Evaluierungsaufenthalt vor Herztransplantation;141;18,9929;20,6769;18;0,1277;23;0,1631
A63Z;Evaluierungsaufenthalt vor Lungen- oder Herz-Lungen-Transplantation;167;14,9641;13,1986;17;0,1018;24;0,1437
A64Z;Evaluierungsaufenthalt vor Leber-, Dünndarm oder Nieren-Pankreas-Transplantation;732;12,8197;14,488;93;0,127;84;0,1148
A66Z;Evaluierungsaufenthalt vor anderer Organtransplantation;638;4,0549;4,9962;51;0,0799;39;0,0611
A69Z;Evaluierungsaufenthalt vor Organtransplantation ohne Aufnahme auf eine Warteliste;721;13,1484;14,057;83;0,1151;73;0,1012
A90A;Teilstationäre geriatrische Komplexbehandlung, umfassende Behandlung;0;0,00;NULL;0;0,00;0;0,00
A90B;Teilstationäre geriatrische Komplexbehandlung, Basisbehandlung;0;0,00;NULL;0;0,00;0;0,00
B01Z;Mehrzeitige komplexe OR-Prozeduren bei Krankheiten und Störungen des Nervensystems;2521;25,8227;16,6369;100;0,0397;401;0,1591
B02A;Komplexe Kraniotomie oder Wirbelsäulen-Operation mit Strahlentherapie, mehr als 8 Bestrahlungen, bei bestimmter Neubildung des Nervensystems oder Alter < 6 Jahre und äuß. schw. CC, bei best. Neubildung d. Nervensyst. oder mit best. Eingr. am Schädel;445;49,6315;19,8433;17;0,0382;142;0,3191
B02B;Komplexe Kraniotomie oder Wirbelsäulen-Operation mit Strahlentherapie, mehr als 8 Bestrahlungen oder Alter > 5 Jahre und Alter < 18 Jahre mit gr. intrakran. Eingriff und äuß. schw. CC, bei best. Neubildung d. Nervensyst. oder mit best. Eingr. am Schädel;332;38,6295;18,497;14;0,0422;75;0,2259
B02C;Komplexe Kraniotomie oder Wirbelsäulen-Operation, Alter < 6 Jahre oder Alter < 18 Jahre mit großem intrakraniellen Eingriff und äußerst schweren CC oder mit komplizierender Konstellation oder mit verschiedenartiger komplexer Prozedur;8854;14,8422;10,7705;973;0,1099;1041;0,1176
B02D;Komplexe Kraniotomie oder Wirbelsäulen-Operation ohne Strahlentherapie, Alter > 5 Jahre oder ohne äußerst schwere CC, ohne bestimmten Eingriff am Schädel, ohne komplizierende Konstellation, ohne verschiedenartige komplexe Prozedur;3731;15,9681;12,3852;543;0,1455;466;0,1249
B03Z;Operative Eingriffe bei nicht akuter Para- / Tetraplegie oder Eingriffe an Wirbelsäule und Rückenmark bei bösart. Neubild. od. mit schw. CC od. mit intraop. Monitoring od. Eingriffe b. zerebraler Lähmung, Muskeldystrophie, Neuropathie mit äuß. schw. CC;4353;17,6161;15,2478;362;0,0832;668;0,1535
B04A;Interventionelle und beidseitige Eingriffe an den extrakraniellen Gefäßen mit äußerst schweren CC;777;13,8983;9,6183;114;0,1467;41;0,0528
B04B;Eingriffe an den extrakraniellen Gefäßen mit äußerst schweren CC und beidseitige Eingriffe an den extrakraniellen Gefäßen ohne äußerst schwere CC;1655;14,5233;9,2839;86;0,052;133;0,0804
B04C;Interventionelle Eingriffe an den extrakraniellen Gefäßen ohne äußerst schwere CC;3856;4,4938;3,682;454;0,1177;263;0,0682
B04D;Eingriffe an den extrakraniellen Gefäßen ohne äußerst schwere CC;19832;6,7265;3,3145;57;0,0029;1858;0,0937
B05Z;Dekompression bei Karpaltunnelsyndrom;9269;1,7207;1,8612;6225;0,6716;226;0,0244
B07Z;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems mit äußerst schweren CC oder komplizierender Diagnose;772;18,3731;16,8039;97;0,1256;107;0,1386
B09A;Andere Eingriffe am Schädel mit äußerst schweren CC;284;12,6761;10,8168;27;0,0951;37;0,1303
B09B;Andere Eingriffe am Schädel ohne äußerst schwere CC;4302;5,7369;3,559;177;0,0411;281;0,0653
B11Z;Frührehabilitation mit bestimmter OR-Prozedur;780;65,6782;42,7721;0;0,00;0;0,00
B12Z;Implantation eines Herzschrittmachers bei Krankheiten und Störungen des Nervensystems oder perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen;3902;12,4664;7,9635;379;0,0971;223;0,0572
B13Z;Epilepsiechirurgie mit invasivem präoperativen Video-EEG;116;19,5086;9,2722;0;0,00;0;0,00
B15Z;Strahlentherapie bei Krankheiten und Störungen des Nervensystems, mehr als ein Belegungstag, mehr als 10 Bestrahlungen;3017;25,5671;13,0038;96;0,0318;392;0,1299
B16Z;Strahlentherapie bei Krankheiten und Störungen des Nervensystems, mehr als ein Belegungstag, weniger als 11 Bestrahlungen;6900;10,2536;8,1104;708;0,1026;643;0,0932
B17A;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie, mit komplexer Diagnose;181;9,5967;13,5936;6;0,0331;26;0,1436
B17B;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie, ohne komplexe Diagnose, mit komplexem Eingriff;1816;4,5969;4,2998;186;0,1024;106;0,0584
B17C;Eingriffe an periph. Nerven, Hirnnerven und anderen Teilen des Nervensyst. oder Eingr. bei zerebr. Lähmung, Muskeldystrophie oder Neuropathie, ohne komplexe Diagnose, ohne komplexen Eingriff, Alter < 19 Jahre oder mit schweren CC, Alter < 16 Jahre;294;4,432;5,4278;43;0,1463;25;0,085
B17D;Eingriffe an periph. Nerven, Hirnnerven und anderen Teilen des Nervensyst. oder Eingr. bei zerebr. Lähmung, Muskeldystrophie oder Neuropathie, ohne komplexe Diagnose, ohne komplexen Eingriff, Alter < 19 Jahre oder mit schweren CC, Alter > 15 Jahre;979;8,9132;8,4094;218;0,2227;117;0,1195
B17E;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebr. Lähmung, Muskeldystrophie oder Neuropathie, ohne kompl. Diagn., ohne kompl. Eingr., ohne schw. CC, Alter > 18 Jahre, mit mäßig kompl. Eingr.;10014;4,6971;5,1271;1822;0,1819;707;0,0706
B17F;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebr. Lähmung, Muskeldystrophie od. Neuropathie, ohne kompl. Diagnose, ohne mäßig kompl. od. kompl. Eingr., ohne äuß. schw. oder schw. CC, Alter > 18 J.;6243;2,4389;2,6502;2822;0,452;273;0,0437
B18Z;Eingriffe an Wirbelsäule und Rückenmark außer bei bösartiger Neubildung, ohne äußerst schwere oder schwere CC oder Revision eines Ventrikelshuntes;6062;8,1724;6,0572;616;0,1016;385;0,0635
B20A;Kraniotomie oder große Wirbelsäulen-Operation mit komplexer Prozedur, Alter < 16 Jahre;407;8,9926;5,7056;14;0,0344;37;0,0909
B20B;Kraniotomie oder große Wirbelsäulen-Operation mit komplexer Prozedur, Alter > 15 Jahre, mit intraoperativem neurophysiologischen Monitoring oder komplexer Diagnose;19060;10,9201;5,8675;760;0,0399;1384;0,0726
B20C;Kraniotomie oder große Wirbelsäulen-Operation ohne komplexe Prozedur, Alter < 3 Jahre oder Alter < 18 Jahre mit großem intrakraniellen Eingriff;578;9,2249;7,6093;28;0,0484;61;0,1055
B20D;Kraniotomie oder große Wirbelsäulen-Operation mit komplexer Prozedur, Alter > 15 Jahre, ohne intraoperatives neurophysiologisches Monitoring, ohne komplexe Diagnose;2198;10,5391;6,3047;89;0,0405;242;0,1101
B20E;Kraniotomie oder große Wirbelsäulen-Operation ohne komplexe Prozedur, Alter > 2 Jahre, mit komplexer Diagnose oder bestimmtem Eingriff bei Trigeminusneuralgie;8106;9,4301;6,8319;635;0,0783;658;0,0812
B20F;Kraniotomie oder große Wirbelsäulen-Operation ohne komplexe Prozedur, Alter > 2 Jahre, ohne komplexe Diagnose, ohne bestimmten Eingriff bei Trigeminusneuralgie;8461;9,3143;6,1574;541;0,0639;702;0,083
B21A;Implantation eines Neurostimulators zur Hirnstimulation, Mehrelektrodensystem, mit Sondenimplantation;800;13,9863;6,4657;25;0,0313;74;0,0925
B21B;Implantation eines Neurostimulators zur Hirnstimulation, Mehrelektrodensystem, ohne Sondenimplantation;826;4,3692;3,5256;78;0,0944;45;0,0545
B36A;Intensivmedizinische Komplexbehandlung > 1764 / 1656 Aufwandspunkte oder > 1176 / 1104 Aufwandspunkte mit bestimmter OR-Prozedur bei Krankheiten und Störungen des Nervensystems;998;42,518;24,0029;0;0,00;171;0,1713
B36B;Intensivmedizinische Komplexbehandlung > 1176 / 1104 Aufwandspunkte und < 1765 / 1657 Aufwandspunkte ohne best. OR-Prozedur oder > 588 / 552 Aufwandspunkte und < 1177 / 1105 Aufwandspunkte mit best. OR-Proz. bei Krankheiten und Störungen d. Nervensystems;2054;29,8544;19,8081;10;0,0049;268;0,1305
B39A;Neurologische Komplexbehandlung des akuten Schlaganfalls mit bestimmter OR-Prozedur, mehr als 72 Stunden mit komplexem Eingriff oder mit komplizierender Konstellation;2069;15,696;10,6835;117;0,0565;223;0,1078
B39B;Neurologische Komplexbehandlung des akuten Schlaganfalls mit bestimmter OR-Prozedur, bis 72 Stunden mit komplexem Eingriff, oder mehr als 72 Stunden, ohne komplexen Eingriff, ohne komplizierende Konstellation;6678;13,5413;8,3682;141;0,0211;562;0,0842
B39C;Neurologische Komplexbehandlung des akuten Schlaganfalls mit bestimmter OR-Prozedur, bis 72 Stunden, ohne komplexen Eingriff, ohne komplizierende Konstellation;1919;12,3648;7,7674;61;0,0318;136;0,0709
B42A;Frührehabilitation bei Krankheiten und Störungen des Nervensystems bis 27 Tage mit neurologischer Komplexbehandlung des akuten Schlaganfalls oder fachübergreifende u. andere Frührehabilitation mit neurologischer Komplexbehandlung des akuten Schlaganfalls;1099;25,2793;7,7879;0;0,00;92;0,0837
B42B;Frührehabilitation bei Krankheiten und Störungen des Nervensystems bis 27 Tage ohne neurologische Komplexbehandlung des akuten Schlaganfalls;6113;21,1256;5,4349;0;0,00;200;0,0327
B43Z;Frührehabilitation bei Krankheiten und Störungen des Nervensystems, mehr als 27 Tage;15421;55,1696;25,9161;0;0,00;0;0,00
B44A;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen des Nervensystems mit schwerer motorischer Funktionseinschränkung, mit neurologischer Komplexbehandlung des akuten Schlaganfalls;3090;26,8094;8,8132;0;0,00;181;0,0586
B44B;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen des Nervensystems mit schwerer motorischer Funktionseinschränkung, ohne neurologische Komplexbehandlung des akuten Schlaganfalls;27511;22,1283;6,638;0;0,00;1547;0,0562
B44C;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen des Nervensystems ohne schwere motorische Funktionseinschränkung, mit neurologischer Komplexbehandlung des akuten Schlaganfalls;1778;24,6974;5,723;0;0,00;47;0,0264
