drg;name;AnzahlBA;mwVwd;vwdStd;AnzKLBA;AntKLBA;AnzLLBA;AntLLBA
A04D;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom, ohne In-vitro-Aufbereitung, Alter > 15 Jahre, ohne Graft-versus-host-Krankheit Grad III und IV, HLA-identisch;0;0,00;NULL;0;0,00;0;0,00
A04E;Knochenmarktransplantation / Stammzelltransfusion, allogen, bei Plasmozytom, ohne Graft-versus-host-Krankheit Grad III und IV, Alter > 15 Jahre;0;0,00;NULL;0;0,00;0;0,00
A05A;Herztransplantation mit Beatmung > 179 Stunden oder Alter < 16 Jahre;0;0,00;NULL;0;0,00;0;0,00
A05B;Herztransplantation ohne Beatmung > 179 Stunden, Alter > 15 Jahre;0;0,00;NULL;0;0,00;0;0,00
A06A;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, mit hochkomplexem Eingriff oder intensivmedizinischer Komplexbehandlung > 3920 / 3680 Aufwandspunkte;0;0,00;NULL;0;0,00;0;0,00
A06B;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 3920 / 3680 Aufwandspunkte oder ohne komplexe OR-Prozedur, ohne Polytrauma;0;0,00;NULL;0;0,00;0;0,00
A07A;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma und int. Komplexbehandlung > 3920 / 3680 P. oder mit hochkomplexem oder dreizeitigem Eingriff;0;0,00;NULL;0;0,00;0;0,00
A07B;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur und komplizierender Konstellation oder mit Polytrauma oder Alter < 16 Jahre;0;0,00;NULL;0;0,00;0;0,00
A07C;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 Aufwandspunkte, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, mit intensivmedizinischer Komplexbehandlung > 2352 / 2208 Aufwandspunkte;2;47,50;4,9497;0;0,00;0;0,00
A07D;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne intensivmedizinische Komplexbehandlung > 2352 / 2208 Aufwandspunkte, mit komplexer Diagnose;0;0,00;NULL;0;0,00;0;0,00
A07E;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne intensivmedizinische Komplexbehandlung > 2352 / 2208 Aufwandspunkte, ohne komplexe Diagnose;-999;-999,00;-999,00;-999;-999,00;-999;-999,00
A09A;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352 / 2208 P., mit angeb. Fehlbild. od. Tumorerkr., Alter < 3 J. od. mit kompl. OR-Proz. oder Polytrauma od. int. Komplexbeh. > 3430 / 3220 P. und hochkompl. Eingr. od. Alter < 16 J.;0;0,00;NULL;0;0,00;0;0,00
A09B;Beatmung > 499 Stunden oder > 249 Stunden mit intensivmed. Komplexbehandlung > 2352 / 2208 Aufwandsp., mit kompl. OR-Prozedur od. Polytrauma od. intensivmed. Komplexbehandlung > 3430 / 3220 Aufwandsp., mit sehr kompl. Eingriff od. kompliz. Konstellation;0;0,00;NULL;0;0,00;0;0,00
A09C;Beatmung > 499 Stunden oder > 249 Stunden mit intensivmedizinischer Komplexbehandlung > 2352 / 2208 Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma oder int. Komplexbeh. > 2352 / 2208 P. oder kompliz. Konstellation oder Alter < 16 Jahre;4;38,50;9,2556;0;0,00;0;0,00
A09D;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 1470 / 1380 und < 2353 / 2209 Aufwandspunkte;2;32,00;4,2426;0;0,00;0;0,00
A09E;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1470 / 1380 Aufwandspunkte, mit komplexer Diagnose oder Prozedur;4;32,00;14,8099;0;0,00;1;0,25
A09F;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1470 / 1380 Aufwandspunkte, ohne komplexe Diagnose, ohne komplexe Prozedur;-999;-999,00;-999,00;-999;-999,00;-999;-999,00
A11A;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 Aufwandspunkte, mit hochkompl. Eingriff oder Alter < 2 J. bei angeborener Fehlbildung od. mit kompliz. Konstellation und best. OR-Prozedur, Alter < 16 J.;0;0,00;NULL;0;0,00;0;0,00
A11B;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 Aufwandspunkte, mit komplexer OR-Prozedur und Alter < 16 Jahre oder kompliz. Konstellation, oder bei Tumor oder angeborener Fehlbildung, Alter < 3 Jahre;2;35,00;24,0416;0;0,00;1;0,50
A11C;Beatmung > 249 Stunden, ohne komplexe OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 1764 / 1656 Aufwandspunkte, mit komplizierender Konstellation und bestimmter OR-Prozedur, Alter > 15 Jahre;0;0,00;NULL;0;0,00;0;0,00
A11D;Beatmung > 249 Stunden, mit komplexer OR-Prozedur, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 1764 / 1656 Aufwandspunkte, ohne komplizierende Konstellation, Alter > 15 Jahre;3;19,3333;7,0238;0;0,00;0;0,00
A11E;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 Aufwandspunkte, mit bestimmter OR-Prozedur oder kompliz. Konstellation oder int. Komplexbeh. > 1176 / 1104 P. oder Alter < 6 Jahre;4;33,00;8,6795;0;0,00;0;0,00
A11F;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 Aufwandspunkte, ohne komplizierende Konstellation, Alter > 5 Jahre, mit komplexer Diagnose oder Prozedur oder Alter < 16 Jahre;4;20,50;10,9697;0;0,00;0;0,00
A11G;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 Aufwandspunkte, ohne komplizierende Konstellation, Alter > 15 Jahre, ohne komplexe Diagnose oder Prozedur, mit äußerst schweren CC;9;23,2222;12,4074;0;0,00;1;0,1111
A11H;Beatmung > 249 Stunden, ohne komplexe oder bestimmte OR-Prozedur, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 Aufwandspunkte, ohne komplizierende Konstellation, Alter > 15 Jahre, ohne komplexe Diagnose oder Prozedur, ohne äußerst schwere CC;2;25,50;14,8492;0;0,00;1;0,50
A13A;Beatmung > 95 Stunden mit hochkomplexem Eingriff od. mit komplexer OR-Prozedur u. intensivmed. Komplexbeh.> 1176 / 1104 P. od. mit kompliz. Konst. u. best. OR-Proz. und Alter < 16 J. od. intensivmed. Komplexbeh. > 1176 / 1104 P. bei Lymphom und Leukämie;0;0,00;NULL;0;0,00;0;0,00
A13B;Beatmung > 95 Stunden mit komplexer OR-Prozedur und sehr komplexem Eingriff oder Eingriff bei angeborener Fehlbildung, Alter < 10 Jahre, oder mit intensivmed. Komplexbehandlung > 1176 / 1104 Punkte und komplizierender Konstellation;4;15,50;3,3166;0;0,00;0;0,00
A13C;Beatmung > 95 Stunden ohne komplexe OR-Prozedur, mit bestimmter OR-Prozedur und kompliz. Konstellation, Alter > 15 J. oder mit intensivmed. Komplexbehandlung > 1176 / 1104 Punkte od. Alter < 16 J., ohne Lymphom und Leukämie, ohne kompliz. Konstellation;-999;-999,00;-999,00;-999;-999,00;-999;-999,00
A13D;Beatmung > 95 Stunden mit komplexer OR-Prozedur, ohne hochkomplexen oder sehr komplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 Aufwandspunkte, ohne komplizierende Konstellation, ohne Eingriff bei angeborener Fehlbildung;13;18,7692;9,2028;0;0,00;1;0,0769
A13E;Beatmung > 95 Stunden, ohne komplexe OR-Prozedur, mit bestimmter OR-Prozedur oder komplizierender Konstellation oder mit intensivmedizinischer Komplexbehandlung > 588 / 552 Aufwandspunkte und < 1177 / 1105 Aufwandspunkte oder Alter < 16 Jahre;17;15,8824;6,4506;0;0,00;0;0,00
A13F;Beatmung > 95 Stunden, ohne komplexe OR-Prozedur, verstorben oder verlegt < 9 Tage oder ohne bestimmte OR-Proz., ohne kompliz. Konstellation, ohne int. Komplexbehandlung > 588 / 552 Aufwandspunkte, Alter > 15 Jahre, mit komplexer Diagnose oder Prozedur;13;14,8462;8,6008;0;0,00;1;0,0769
A13G;Beatmung > 95 Stunden, ohne komplexe OR-Prozedur, verstorben oder verlegt < 9 Tage oder ohne bestimmte OR-Proz., ohne kompliz. Konst., ohne int. Komplexbeh. > 588 / 552 P., Alter > 15 Jahre, ohne komplexe Diagnose oder Prozedur, mit äußerst schweren CC;12;13,4167;7,7396;0;0,00;0;0,00
A13H;Beatmung > 95 Stunden, ohne komplexe OR-Prozedur, ohne bestimmte OR-Prozedur, ohne kompliz. Konstellation, ohne int. Komplexbeh. > 588 / 552 P., Alter > 15 Jahre, ohne komplexe Diagnose oder Prozedur, ohne äußerst schwere CC;10;14,10;12,3239;0;0,00;1;0,10
A15A;Knochenmarktransplantation / Stammzelltransfusion, autogen, mit zweiter Knochenmarktransplantation / Stammzelltransfusion im selben Aufenthalt;0;0,00;NULL;0;0,00;0;0,00
A15B;Knochenmarktransplantation / Stammzelltransfusion, autogen, außer bei Plasmozytom, Alter < 16 Jahre;0;0,00;NULL;0;0,00;0;0,00
A15C;Knochenmarktransplantation / Stammzelltransfusion, autogen, außer bei Plasmozytom, Alter > 15 Jahre;6;28,00;11,6619;0;0,00;1;0,1667
A15D;Knochenmarktransplantation / Stammzelltransfusion, autogen, bei Plasmozytom;16;22,9375;8,5827;0;0,00;2;0,125
A16A;Transplantation von Darm oder Pankreas;0;0,00;NULL;0;0,00;0;0,00
A16B;Injektion von Pankreasgewebe;0;0,00;NULL;0;0,00;0;0,00
A17A;Nierentransplantation mit postoperativem Versagen des Nierentransplantates oder Alter < 16 Jahre oder AB0-inkompatible Transplantation;0;0,00;NULL;0;0,00;0;0,00
A17B;Nierentransplantation ohne postoperatives Versagen des Nierentransplantates, Alter > 15 Jahre oder ohne AB0-inkompatible Transplantation;0;0,00;NULL;0;0,00;0;0,00
A18Z;Beatmung > 999 Stunden und Transplantation von Leber, Lunge, Herz und Knochenmark oder Stammzelltransfusion;0;0,00;NULL;0;0,00;0;0,00
A22Z;Korrektureingriff bei Doppelfehlbildung;0;0,00;NULL;0;0,00;0;0,00
A36A;Intensivmedizinische Komplexbehandlung > 1764 / 1656 Aufwandspunkte bei bestimmten Krankheiten und Störungen oder intensivmedizinische Komplexbehandlung > 588 / 552 Aufwandspunkte bei Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen;2;45,50;14,8492;0;0,00;0;0,00
A36B;Intensivmedizinische Komplexbehandlung > 588 / 552 und < 1765 / 1657 Aufwandspunkte bei bestimmten Krankheiten und Störungen oder komplizierende Konstellation bei Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen;3;51,6667;21,362;0;0,00;2;0,6667
A42A;Stammzellentnahme bei Eigenspender mit Chemotherapie;0;0,00;NULL;0;0,00;0;0,00
A42B;Stammzellentnahme bei Eigenspender ohne Chemotherapie, Alter < 16 Jahre;0;0,00;NULL;0;0,00;0;0,00
A42C;Stammzellentnahme bei Eigenspender ohne Chemotherapie, Alter > 15 Jahre;14;4,0714;3,1977;2;0,1429;1;0,0714
A43Z;Frührehabilitation bei Wachkoma und Locked-in-Syndrom;0;0,00;NULL;0;0,00;0;0,00
A60A;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, mit Entfernung eines Organtransplantates oder komplexer OR-Prozedur oder äußerst schweren CC;-999;-999,00;-999,00;-999;-999,00;-999;-999,00
A60B;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, ohne Entfernung eines Organtransplantates, ohne komplexe OR-Prozedur, ohne äußerst schwere CC, Alter < 16 Jahre;0;0,00;NULL;0;0,00;0;0,00
A60C;Versagen und Abstoßung eines Organtransplantates, mehr als ein Belegungstag, ohne Entfernung eines Organtransplantates, ohne komplexe OR-Prozedur, ohne äußerst schwere CC, Alter > 15 Jahre;4;7,00;2,9439;0;0,00;0;0,00
A60D;Versagen und Abstoßung eines Organtransplantates, ein Belegungstag;2;1,00;0,00;0;0,00;0;0,00
A61A;Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen, mit äußerst schweren CC;0;0,00;NULL;0;0,00;0;0,00
A61B;Versagen und Abstoßung eines Transplantates hämatopoetischer Zellen, ohne äußerst schwere CC;0;0,00;NULL;0;0,00;0;0,00
A62Z;Evaluierungsaufenthalt vor Herztransplantation;0;0,00;NULL;0;0,00;0;0,00
A63Z;Evaluierungsaufenthalt vor Lungen- oder Herz-Lungen-Transplantation;0;0,00;NULL;0;0,00;0;0,00
A64Z;Evaluierungsaufenthalt vor Leber-, Dünndarm oder Nieren-Pankreas-Transplantation;0;0,00;NULL;0;0,00;0;0,00
A66Z;Evaluierungsaufenthalt vor anderer Organtransplantation;0;0,00;NULL;0;0,00;0;0,00
A69Z;Evaluierungsaufenthalt vor Organtransplantation ohne Aufnahme auf eine Warteliste;0;0,00;NULL;0;0,00;0;0,00
A90A;Teilstationäre geriatrische Komplexbehandlung, umfassende Behandlung;0;0,00;NULL;0;0,00;0;0,00
A90B;Teilstationäre geriatrische Komplexbehandlung, Basisbehandlung;0;0,00;NULL;0;0,00;0;0,00
B01Z;Mehrzeitige komplexe OR-Prozeduren bei Krankheiten und Störungen des Nervensystems;3;23,00;12,7671;0;0,00;0;0,00
B02A;Komplexe Kraniotomie oder Wirbelsäulen-Operation mit Strahlentherapie, mehr als 8 Bestrahlungen, bei bestimmter Neubildung des Nervensystems oder Alter < 6 Jahre und äuß. schw. CC, bei best. Neubildung d. Nervensyst. oder mit best. Eingr. am Schädel;0;0,00;NULL;0;0,00;0;0,00
B02B;Komplexe Kraniotomie oder Wirbelsäulen-Operation mit Strahlentherapie, mehr als 8 Bestrahlungen oder Alter > 5 Jahre und Alter < 18 Jahre mit gr. intrakran. Eingriff und äuß. schw. CC, bei best. Neubildung d. Nervensyst. oder mit best. Eingr. am Schädel;0;0,00;NULL;0;0,00;0;0,00
B02C;Komplexe Kraniotomie oder Wirbelsäulen-Operation, Alter < 6 Jahre oder Alter < 18 Jahre mit großem intrakraniellen Eingriff und äußerst schweren CC oder mit komplizierender Konstellation oder mit verschiedenartiger komplexer Prozedur;9;22,8889;9,4133;0;0,00;2;0,2222
B02D;Komplexe Kraniotomie oder Wirbelsäulen-Operation ohne Strahlentherapie, Alter > 5 Jahre oder ohne äußerst schwere CC, ohne bestimmten Eingriff am Schädel, ohne komplizierende Konstellation, ohne verschiedenartige komplexe Prozedur;-999;-999,00;-999,00;-999;-999,00;-999;-999,00
B03Z;Operative Eingriffe bei nicht akuter Para- / Tetraplegie oder Eingriffe an Wirbelsäule und Rückenmark bei bösart. Neubild. od. mit schw. CC od. mit intraop. Monitoring od. Eingriffe b. zerebraler Lähmung, Muskeldystrophie, Neuropathie mit äuß. schw. CC;33;11,0303;7,4979;6;0,1818;1;0,0303
B04A;Interventionelle und beidseitige Eingriffe an den extrakraniellen Gefäßen mit äußerst schweren CC;-999;-999,00;-999,00;-999;-999,00;-999;-999,00
B04B;Eingriffe an den extrakraniellen Gefäßen mit äußerst schweren CC und beidseitige Eingriffe an den extrakraniellen Gefäßen ohne äußerst schwere CC;3;8,00;1,00;0;0,00;0;0,00
B04C;Interventionelle Eingriffe an den extrakraniellen Gefäßen ohne äußerst schwere CC;142;2,3944;1,2375;15;0,1056;0;0,00
B04D;Eingriffe an den extrakraniellen Gefäßen ohne äußerst schwere CC;211;6,1137;1,1197;1;0,0047;1;0,0047
B05Z;Dekompression bei Karpaltunnelsyndrom;716;1,4469;2,1848;567;0,7919;9;0,0126
B07Z;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems mit äußerst schweren CC oder komplizierender Diagnose;3;26,00;12,00;0;0,00;1;0,3333
B09A;Andere Eingriffe am Schädel mit äußerst schweren CC;2;2,00;1,4142;2;1,00;0;0,00
B09B;Andere Eingriffe am Schädel ohne äußerst schwere CC;117;3,5897;2,186;19;0,1624;1;0,0085
B11Z;Frührehabilitation mit bestimmter OR-Prozedur;0;0,00;NULL;0;0,00;0;0,00
B12Z;Implantation eines Herzschrittmachers bei Krankheiten und Störungen des Nervensystems oder perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen;-999;-999,00;-999,00;-999;-999,00;-999;-999,00
B13Z;Epilepsiechirurgie mit invasivem präoperativen Video-EEG;0;0,00;NULL;0;0,00;0;0,00
B15Z;Strahlentherapie bei Krankheiten und Störungen des Nervensystems, mehr als ein Belegungstag, mehr als 10 Bestrahlungen;81;23,5185;11,2095;2;0,0247;9;0,1111
B16Z;Strahlentherapie bei Krankheiten und Störungen des Nervensystems, mehr als ein Belegungstag, weniger als 11 Bestrahlungen;82;9,50;5,5137;11;0,1341;0;0,00
B17A;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie, mit komplexer Diagnose;0;0,00;NULL;0;0,00;0;0,00
B17B;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebraler Lähmung, Muskeldystrophie oder Neuropathie, ohne komplexe Diagnose, mit komplexem Eingriff;18;4,7222;3,1587;1;0,0556;3;0,1667
B17C;Eingriffe an periph. Nerven, Hirnnerven und anderen Teilen des Nervensyst. oder Eingr. bei zerebr. Lähmung, Muskeldystrophie oder Neuropathie, ohne komplexe Diagnose, ohne komplexen Eingriff, Alter < 19 Jahre oder mit schweren CC, Alter < 16 Jahre;-999;-999,00;-999,00;-999;-999,00;-999;-999,00
B17D;Eingriffe an periph. Nerven, Hirnnerven und anderen Teilen des Nervensyst. oder Eingr. bei zerebr. Lähmung, Muskeldystrophie oder Neuropathie, ohne komplexe Diagnose, ohne komplexen Eingriff, Alter < 19 Jahre oder mit schweren CC, Alter > 15 Jahre;12;5,9167;7,7981;4;0,3333;1;0,0833
B17E;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebr. Lähmung, Muskeldystrophie oder Neuropathie, ohne kompl. Diagn., ohne kompl. Eingr., ohne schw. CC, Alter > 18 Jahre, mit mäßig kompl. Eingr.;245;2,8204;2,5736;82;0,3347;4;0,0163
B17F;Eingriffe an peripheren Nerven, Hirnnerven und anderen Teilen des Nervensystems oder Eingriff bei zerebr. Lähmung, Muskeldystrophie od. Neuropathie, ohne kompl. Diagnose, ohne mäßig kompl. od. kompl. Eingr., ohne äuß. schw. oder schw. CC, Alter > 18 J.;195;1,7128;2,1103;134;0,6872;3;0,0154
B18Z;Eingriffe an Wirbelsäule und Rückenmark außer bei bösartiger Neubildung, ohne äußerst schwere oder schwere CC oder Revision eines Ventrikelshuntes;119;6,1849;3,4345;15;0,1261;1;0,0084
B20A;Kraniotomie oder große Wirbelsäulen-Operation mit komplexer Prozedur, Alter < 16 Jahre;0;0,00;NULL;0;0,00;0;0,00
B20B;Kraniotomie oder große Wirbelsäulen-Operation mit komplexer Prozedur, Alter > 15 Jahre, mit intraoperativem neurophysiologischen Monitoring oder komplexer Diagnose;45;10,3111;4,9627;2;0,0444;1;0,0222
B20C;Kraniotomie oder große Wirbelsäulen-Operation ohne komplexe Prozedur, Alter < 3 Jahre oder Alter < 18 Jahre mit großem intrakraniellen Eingriff;2;5,00;2,8284;0;0,00;0;0,00
B20D;Kraniotomie oder große Wirbelsäulen-Operation mit komplexer Prozedur, Alter > 15 Jahre, ohne intraoperatives neurophysiologisches Monitoring, ohne komplexe Diagnose;5;8,40;3,2094;0;0,00;0;0,00
B20E;Kraniotomie oder große Wirbelsäulen-Operation ohne komplexe Prozedur, Alter > 2 Jahre, mit komplexer Diagnose oder bestimmtem Eingriff bei Trigeminusneuralgie;29;9,3103;6,5198;3;0,1034;1;0,0345
B20F;Kraniotomie oder große Wirbelsäulen-Operation ohne komplexe Prozedur, Alter > 2 Jahre, ohne komplexe Diagnose, ohne bestimmten Eingriff bei Trigeminusneuralgie;28;6,7857;5,7113;7;0,25;2;0,0714
B21A;Implantation eines Neurostimulators zur Hirnstimulation, Mehrelektrodensystem, mit Sondenimplantation;0;0,00;NULL;0;0,00;0;0,00
B21B;Implantation eines Neurostimulators zur Hirnstimulation, Mehrelektrodensystem, ohne Sondenimplantation;0;0,00;NULL;0;0,00;0;0,00
B36A;Intensivmedizinische Komplexbehandlung > 1764 / 1656 Aufwandspunkte oder > 1176 / 1104 Aufwandspunkte mit bestimmter OR-Prozedur bei Krankheiten und Störungen des Nervensystems;-999;-999,00;-999,00;-999;-999,00;-999;-999,00
B36B;Intensivmedizinische Komplexbehandlung > 1176 / 1104 Aufwandspunkte und < 1765 / 1657 Aufwandspunkte ohne best. OR-Prozedur oder > 588 / 552 Aufwandspunkte und < 1177 / 1105 Aufwandspunkte mit best. OR-Proz. bei Krankheiten und Störungen d. Nervensystems;-999;-999,00;-999,00;-999;-999,00;-999;-999,00
B39A;Neurologische Komplexbehandlung des akuten Schlaganfalls mit bestimmter OR-Prozedur, mehr als 72 Stunden mit komplexem Eingriff oder mit komplizierender Konstellation;0;0,00;NULL;0;0,00;0;0,00
B39B;Neurologische Komplexbehandlung des akuten Schlaganfalls mit bestimmter OR-Prozedur, bis 72 Stunden mit komplexem Eingriff, oder mehr als 72 Stunden, ohne komplexen Eingriff, ohne komplizierende Konstellation;0;0,00;NULL;0;0,00;0;0,00
B39C;Neurologische Komplexbehandlung des akuten Schlaganfalls mit bestimmter OR-Prozedur, bis 72 Stunden, ohne komplexen Eingriff, ohne komplizierende Konstellation;0;0,00;NULL;0;0,00;0;0,00
B42A;Frührehabilitation bei Krankheiten und Störungen des Nervensystems bis 27 Tage mit neurologischer Komplexbehandlung des akuten Schlaganfalls oder fachübergreifende u. andere Frührehabilitation mit neurologischer Komplexbehandlung des akuten Schlaganfalls;0;0,00;NULL;0;0,00;0;0,00
B42B;Frührehabilitation bei Krankheiten und Störungen des Nervensystems bis 27 Tage ohne neurologische Komplexbehandlung des akuten Schlaganfalls;0;0,00;NULL;0;0,00;0;0,00
B43Z;Frührehabilitation bei Krankheiten und Störungen des Nervensystems, mehr als 27 Tage;0;0,00;NULL;0;0,00;0;0,00
B44A;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen des Nervensystems mit schwerer motorischer Funktionseinschränkung, mit neurologischer Komplexbehandlung des akuten Schlaganfalls;0;0,00;NULL;0;0,00;0;0,00
B44B;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen des Nervensystems mit schwerer motorischer Funktionseinschränkung, ohne neurologische Komplexbehandlung des akuten Schlaganfalls;0;0,00;NULL;0;0,00;0;0,00
B44C;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen des Nervensystems ohne schwere motorische Funktionseinschränkung, mit neurologischer Komplexbehandlung des akuten Schlaganfalls;0;0,00;NULL;0;0,00;0;0,00
B44D;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen des Nervensystems ohne schwere motorische Funktionseinschränkung, ohne neurologische Komplexbehandlung des akuten Schlaganfalls;0;0,00;NULL;0;0,00;0;0,00
B46Z;Sozial- und neuropädiatrische und pädiatrisch-psychosomatische Therapie bei Krankheiten und Störungen des Nervensystems;0;0,00;NULL;0;0,00;0;0,00
B47Z;Multimodale Schmerztherapie bei Krankheiten und Störungen des Nervensystems;40;9,275;2,2417;0;0,00;1;0,025
