Bundesland_A;Stufe;Anzahl KH;mwFallzahlHA;mwVWD;cmi;antSTF;BLCODE;BettenstufeSort
03_Niedersachsen;200 bis 249 Betten;8;11553,375;5,6875;1,0215;0,0389;03;b0249 
03_Niedersachsen;250 bis 299 Betten;17;13372,8235;5,9235;0,9532;0,0339;03;b0299 
03_Niedersachsen;300 bis 399 Betten;15;14494,2667;7,5267;1,1659;0,0369;03;b0399 
03_Niedersachsen;400 bis 499 Betten;10;21285,10;6,03;1,0516;0,0365;03;b0499 
03_Niedersachsen;500 bis 599 Betten;4;27141,25;5,90;1,0385;0,0331;03;b0599 
03_Niedersachsen;600 bis 799 Betten;4;26880,25;6,40;1,0783;0,0323;03;b0799 
03_Niedersachsen;800 bis 999 Betten;2;28320,50;6,25;1,15;0,059;03;b0999 
03_Niedersachsen;1000 Betten und mehr;3;55292,3333;6,9667;1,512;0,0379;03;b1000+
03_Niedersachsen;Ohne Angabe;4;2896,50;5,95;0,8095;0,018;03;oA    
04_Bremen;bis 49 Betten;0;0,00;0,00;0,00;0,00;04;b0049 
04_Bremen;50 bis 99 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0099 
04_Bremen;100 bis 149 Betten;0;0,00;0,00;0,00;0,00;04;b0149 
04_Bremen;150 bis 199 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0199 
04_Bremen;200 bis 249 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0249 
04_Bremen;250 bis 299 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0299 
04_Bremen;300 bis 399 Betten;2;12458,00;7,65;1,184;0,0192;04;b0399 
04_Bremen;400 bis 499 Betten;3;22397,00;5,7667;1,0367;0,0412;04;b0499 
04_Bremen;500 bis 599 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0599 
04_Bremen;600 bis 799 Betten;0;0,00;0,00;0,00;0,00;04;b0799 
04_Bremen;800 bis 999 Betten;-999;-999,00;-999,00;-999,00;-9,99;04;b0999 
04_Bremen;1000 Betten und mehr;0;0,00;0,00;0,00;0,00;04;b1000+
04_Bremen;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;04;oA    
05_Nordrhein-Westfalen;bis 49 Betten;11;1131,00;6,4818;0,8329;0,0113;05;b0049 
05_Nordrhein-Westfalen;50 bis 99 Betten;25;2409,08;10,412;1,2328;0,023;05;b0099 
05_Nordrhein-Westfalen;100 bis 149 Betten;37;4409,00;7,6919;1,0612;0,0272;05;b0149 
05_Nordrhein-Westfalen;150 bis 199 Betten;19;6497,5789;7,3474;0,9585;0,0255;05;b0199 
05_Nordrhein-Westfalen;200 bis 249 Betten;38;9116,7632;6,3316;0,982;0,0288;05;b0249 
05_Nordrhein-Westfalen;250 bis 299 Betten;21;10922,4762;6,3381;1,0214;0,0233;05;b0299 
05_Nordrhein-Westfalen;300 bis 399 Betten;62;13827,3065;6,5194;1,0105;0,0236;05;b0399 
05_Nordrhein-Westfalen;400 bis 499 Betten;30;18521,4667;6,3233;1,0174;0,0232;05;b0499 
05_Nordrhein-Westfalen;500 bis 599 Betten;20;22541,90;6,475;1,1498;0,0198;05;b0599 
05_Nordrhein-Westfalen;600 bis 799 Betten;26;27637,2692;6,55;1,0862;0,022;05;b0799 
05_Nordrhein-Westfalen;800 bis 999 Betten;2;44277,00;6,45;1,166;0,0159;05;b0999 
05_Nordrhein-Westfalen;1000 Betten und mehr;14;47175,7857;6,9857;1,4128;0,0239;05;b1000+
05_Nordrhein-Westfalen;Ohne Angabe;2;8646,50;10,35;0,4765;0,0366;05;oA    
06_Hessen;bis 49 Betten;13;870,5385;16,9308;1,0912;0,0129;06;b0049 
06_Hessen;50 bis 99 Betten;13;2145,7692;17,4692;3,4056;0,0296;06;b0099 
06_Hessen;100 bis 149 Betten;18;3292,0556;10,3778;1,2566;0,0236;06;b0149 
06_Hessen;150 bis 199 Betten;16;6885,00;7,0313;1,1026;0,0187;06;b0199 
06_Hessen;200 bis 249 Betten;9;9655,00;5,9556;0,9273;0,036;06;b0249 
06_Hessen;250 bis 299 Betten;7;10824,8571;6,5857;0,963;0,0318;06;b0299 
06_Hessen;300 bis 399 Betten;13;11515,0769;7,7077;1,2506;0,0289;06;b0399 
06_Hessen;400 bis 499 Betten;6;22283,00;5,9167;0,9517;0,0332;06;b0499 
06_Hessen;500 bis 599 Betten;5;23002,20;6,26;1,0504;0,0262;06;b0599 
06_Hessen;600 bis 799 Betten;3;26808,00;6,70;1,147;0,0268;06;b0799 
06_Hessen;800 bis 999 Betten;5;38379,40;6,28;1,1636;0,0173;06;b0999 
06_Hessen;1000 Betten und mehr;3;47685,6667;6,4667;1,4543;0,0233;06;b1000+
06_Hessen;Ohne Angabe;2;3146,50;5,00;0,7345;0,0392;06;oA    
07_Rheinland-Pfalz;bis 49 Betten;3;1105,00;8,6333;1,3857;0,0015;07;b0049 
07_Rheinland-Pfalz;50 bis 99 Betten;8;2262,50;11,50;1,1451;0,0236;07;b0099 
07_Rheinland-Pfalz;100 bis 149 Betten;12;3422,75;8,70;0,921;0,0289;07;b0149 
07_Rheinland-Pfalz;150 bis 199 Betten;12;6220,4167;6,2167;0,8418;0,0379;07;b0199 
07_Rheinland-Pfalz;200 bis 249 Betten;8;7027,375;6,875;0,9476;0,0277;07;b0249 
07_Rheinland-Pfalz;250 bis 299 Betten;5;9726,80;5,92;0,8776;0,0349;07;b0299 
07_Rheinland-Pfalz;300 bis 399 Betten;7;13305,00;5,80;0,8764;0,0348;07;b0399 
07_Rheinland-Pfalz;400 bis 499 Betten;7;17375,4286;6,1714;0,9566;0,0335;07;b0499 
07_Rheinland-Pfalz;500 bis 599 Betten;9;19537,00;6,5556;1,0931;0,0319;07;b0599 
07_Rheinland-Pfalz;600 bis 799 Betten;3;27966,6667;6,3667;1,1163;0,0175;07;b0799 
07_Rheinland-Pfalz;800 bis 999 Betten;-999;-999,00;-999,00;-999,00;-9,99;07;b0999 
07_Rheinland-Pfalz;1000 Betten und mehr;2;54093,00;6,60;1,3095;0,0347;07;b1000+
07_Rheinland-Pfalz;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;07;oA    
08_Baden-Württemberg;bis 49 Betten;15;1037,80;16,8933;1,5817;0,0138;08;b0049 
08_Baden-Württemberg;50 bis 99 Betten;37;2423,973;11,1486;1,4222;0,0189;08;b0099 
08_Baden-Württemberg;100 bis 149 Betten;15;4148,0667;9,06;0,9881;0,0478;08;b0149 
08_Baden-Württemberg;150 bis 199 Betten;19;7493,7368;6,1105;0,9123;0,0347;08;b0199 
08_Baden-Württemberg;200 bis 249 Betten;13;8896,9231;6,4769;1,06;0,0248;08;b0249 
08_Baden-Württemberg;250 bis 299 Betten;7;11756,00;6,0143;0,9229;0,0405;08;b0299 
08_Baden-Württemberg;300 bis 399 Betten;16;14569,125;6,3188;1,0934;0,032;08;b0399 
08_Baden-Württemberg;400 bis 499 Betten;12;19606,8333;5,9083;0,9785;0,0341;08;b0499 
08_Baden-Württemberg;500 bis 599 Betten;6;23819,50;5,9833;1,032;0,0339;08;b0599 
08_Baden-Württemberg;600 bis 799 Betten;8;29489,50;6,25;1,0588;0,0355;08;b0799 
08_Baden-Württemberg;800 bis 999 Betten;4;39761,50;6,45;1,1593;0,0271;08;b0999 
08_Baden-Württemberg;1000 Betten und mehr;8;58420,50;6,275;1,3409;0,0301;08;b1000+
08_Baden-Württemberg;Ohne Angabe;2;11194,00;8,75;1,681;0,0263;08;oA    
09_Bayern;bis 49 Betten;37;978,4865;11,2622;1,0512;0,0198;09;b0049 
09_Bayern;50 bis 99 Betten;44;2418,7955;7,9568;1,058;0,0214;09;b0099 
09_Bayern;100 bis 149 Betten;49;4408,9592;8,3327;1,1149;0,0344;09;b0149 
09_Bayern;150 bis 199 Betten;30;6446,1333;7,07;1,0507;0,0436;09;b0199 
09_Bayern;200 bis 249 Betten;19;8153,1053;5,9316;1,1633;0,0326;09;b0249 
09_Bayern;250 bis 299 Betten;15;10884,40;6,2933;1,0575;0,028;09;b0299 
09_Bayern;300 bis 399 Betten;24;13945,375;6,2125;1,076;0,0406;09;b0399 
09_Bayern;400 bis 499 Betten;18;18322,6111;6,2944;1,0294;0,0353;09;b0499 
09_Bayern;500 bis 599 Betten;7;25111,7143;5,9286;1,0127;0,0403;09;b0599 
09_Bayern;600 bis 799 Betten;7;30132,5714;6,30;1,0711;0,0485;09;b0799 
09_Bayern;800 bis 999 Betten;7;37889,8571;6,6143;1,2834;0,0401;09;b0999 
09_Bayern;1000 Betten und mehr;6;66924,6667;6,6667;1,3132;0,0404;09;b1000+
09_Bayern;Ohne Angabe;2;668,50;6,95;0,9915;0,0052;09;oA    
10_Saarland;bis 49 Betten;2;409,50;18,60;1,5915;0,0061;10;b0049 
10_Saarland;50 bis 99 Betten;-999;-999,00;-999,00;-999,00;-9,99;10;b0099 
10_Saarland;100 bis 149 Betten;2;5695,50;6,55;1,0035;0,0472;10;b0149 
10_Saarland;150 bis 199 Betten;6;7022,6667;9,05;0,9883;0,0286;10;b0199 
10_Saarland;200 bis 249 Betten;2;10191,00;6,40;0,8835;0,0302;10;b0249 
10_Saarland;250 bis 299 Betten;-999;-999,00;-999,00;-999,00;-9,99;10;b0299 
10_Saarland;300 bis 399 Betten;3;13286,6667;7,1667;1,1937;0,0286;10;b0399 
10_Saarland;400 bis 499 Betten;-999;-999,00;-999,00;-999,00;-9,99;10;b0499 
10_Saarland;500 bis 599 Betten;2;25390,50;5,95;1,044;0,0259;10;b0599 
10_Saarland;600 bis 799 Betten;0;0,00;0,00;0,00;0,00;10;b0799 
10_Saarland;800 bis 999 Betten;0;0,00;0,00;0,00;0,00;10;b0999 
10_Saarland;1000 Betten und mehr;-999;-999,00;-999,00;-999,00;-9,99;10;b1000+
10_Saarland;Ohne Angabe;0;0,00;0,00;0,00;0,00;10;oA    
11_Berlin;bis 49 Betten;4;1048,75;6,65;0,8698;0,0057;11;b0049 
11_Berlin;50 bis 99 Betten;4;3339,75;6,875;1,1673;0,0024;11;b0099 
11_Berlin;100 bis 149 Betten;3;1889,00;18,5333;1,716;0,0028;11;b0149 
11_Berlin;150 bis 199 Betten;6;6370,50;9,20;1,7888;0,0111;11;b0199 
11_Berlin;200 bis 249 Betten;4;10987,25;5,875;1,0138;0,0216;11;b0249 
11_Berlin;250 bis 299 Betten;6;8394,3333;9,2333;1,1945;0,0137;11;b0299 
11_Berlin;300 bis 399 Betten;5;12259,00;9,52;1,4592;0,0148;11;b0399 
11_Berlin;400 bis 499 Betten;5;21287,20;6,16;1,0632;0,0204;11;b0499 
11_Berlin;500 bis 599 Betten;3;23959,00;6,6333;1,226;0,0163;11;b0599 
11_Berlin;600 bis 799 Betten;0;0,00;0,00;0,00;0,00;11;b0799 
11_Berlin;800 bis 999 Betten;0;0,00;0,00;0,00;0,00;11;b0999 
11_Berlin;1000 Betten und mehr;3;123057,6667;6,30;1,314;0,0356;11;b1000+
11_Berlin;Ohne Angabe;-999;-999,00;-999,00;-999,00;-9,99;11;oA    
12_Brandenburg;bis 49 Betten;6;2168,8333;12,5167;0,9072;0,0262;12;b0049 
12_Brandenburg;50 bis 99 Betten;6;2199,50;11,10;1,2232;0,0427;12;b0099 
12_Brandenburg;100 bis 149 Betten;9;2917,7778;22,5889;1,9664;0,0171;12;b0149 
12_Brandenburg;150 bis 199 Betten;7;5029,5714;9,1429;1,1784;0,018;12;b0199 
12_Brandenburg;200 bis 249 Betten;2;10801,50;6,00;0,984;0,0183;12;b0249 
12_Brandenburg;250 bis 299 Betten;8;9063,625;7,4875;1,138;0,0209;12;b0299 
12_Brandenburg;300 bis 399 Betten;2;16556,00;6,05;0,895;0,0211;12;b0399 
12_Brandenburg;400 bis 499 Betten;5;19550,20;6,26;0,966;0,0155;12;b0499 
12_Brandenburg;500 bis 599 Betten;5;22753,80;6,54;1,084;0,0146;12;b0599 
12_Brandenburg;600 bis 799 Betten;-999;-999,00;-999,00;-999,00;-9,99;12;b0799 
12_Brandenburg;800 bis 999 Betten;-999;-999,00;-999,00;-999,00;-9,99;12;b0999 
12_Brandenburg;1000 Betten und mehr;-999;-999,00;-999,00;-999,00;-9,99;12;b1000+
12_Brandenburg;Ohne Angabe;0;0,00;0,00;0,00;0,00;12;oA    
13_Mecklenburg-Vorpommern;bis 49 Betten;-999;-999,00;-999,00;-999,00;-9,99;13;b0049 
13_Mecklenburg-Vorpommern;50 bis 99 Betten;7;2475,7143;12,2714;1,9853;0,0315;13;b0099 
13_Mecklenburg-Vorpommern;100 bis 149 Betten;3;5859,3333;5,4667;0,847;0,0431;13;b0149 
13_Mecklenburg-Vorpommern;150 bis 199 Betten;8;7114,25;10,9625;1,6464;0,0269;13;b0199 
13_Mecklenburg-Vorpommern;200 bis 249 Betten;3;8924,3333;6,3333;1,2043;0,0223;13;b0249 
13_Mecklenburg-Vorpommern;250 bis 299 Betten;2;15285,50;5,80;0,9245;0,0161;13;b0299 
13_Mecklenburg-Vorpommern;300 bis 399 Betten;2;16947,50;5,60;0,8895;0,0222;13;b0399 
13_Mecklenburg-Vorpommern;400 bis 499 Betten;2;23144,00;5,95;1,014;0,02;13;b0499 
13_Mecklenburg-Vorpommern;500 bis 599 Betten;0;0,00;0,00;0,00;0,00;13;b0599 
13_Mecklenburg-Vorpommern;600 bis 799 Betten;0;0,00;0,00;0,00;0,00;13;b0799 
13_Mecklenburg-Vorpommern;800 bis 999 Betten;3;36468,3333;6,6333;1,2817;0,0178;13;b0999 
13_Mecklenburg-Vorpommern;1000 Betten und mehr;-999;-999,00;-999,00;-999,00;-9,99;13;b1000+
13_Mecklenburg-Vorpommern;Ohne Angabe;0;0,00;0,00;0,00;0,00;13;oA    
14_Sachsen;bis 49 Betten;8;830,875;22,0125;3,714;0,0116;14;b0049 
14_Sachsen;50 bis 99 Betten;9;1874,5556;15,0222;1,3871;0,0133;14;b0099 
14_Sachsen;100 bis 149 Betten;6;3974,6667;10,8333;2,6895;0,0111;14;b0149 
14_Sachsen;150 bis 199 Betten;13;7725,3846;6,3154;1,0985;0,0174;14;b0199 
14_Sachsen;200 bis 249 Betten;9;11275,2222;5,90;0,8931;0,0176;14;b0249 
14_Sachsen;250 bis 299 Betten;5;10741,60;6,76;1,0022;0,018;14;b0299 
14_Sachsen;300 bis 399 Betten;12;14889,8333;6,475;1,0009;0,016;14;b0399 
14_Sachsen;400 bis 499 Betten;6;21364,3333;6,15;1,3015;0,0292;14;b0499 
14_Sachsen;500 bis 599 Betten;3;24601,6667;6,0667;0,9623;0,0195;14;b0599 
14_Sachsen;600 bis 799 Betten;0;0,00;0,00;0,00;0,00;14;b0799 
14_Sachsen;800 bis 999 Betten;3;37857,6667;6,8333;1,1393;0,0121;14;b0999 
14_Sachsen;1000 Betten und mehr;3;55031,6667;7,00;1,3583;0,023;14;b1000+
14_Sachsen;Ohne Angabe;0;0,00;0,00;0,00;0,00;14;oA    
15_Sachsen-Anhalt;bis 49 Betten;4;890,00;8,85;0,752;0,0039;15;b0049 
15_Sachsen-Anhalt;50 bis 99 Betten;3;1625,00;9,80;0,707;0,0199;15;b0099 
15_Sachsen-Anhalt;100 bis 149 Betten;5;3127,60;16,48;2,1392;0,0163;15;b0149 
15_Sachsen-Anhalt;150 bis 199 Betten;6;6009,50;6,35;1,0488;0,0117;15;b0199 
15_Sachsen-Anhalt;200 bis 249 Betten;2;9366,50;5,55;0,8725;0,0246;15;b0249 
15_Sachsen-Anhalt;250 bis 299 Betten;4;11809,25;5,70;0,947;0,0256;15;b0299 
15_Sachsen-Anhalt;300 bis 399 Betten;3;13099,3333;7,70;1,2443;0,0274;15;b0399 
15_Sachsen-Anhalt;400 bis 499 Betten;6;18975,8333;5,75;0,9178;0,0262;15;b0499 
15_Sachsen-Anhalt;500 bis 599 Betten;4;21722,00;6,375;1,023;0,0218;15;b0599 
15_Sachsen-Anhalt;600 bis 799 Betten;3;30079,6667;6,10;1,0293;0,0156;15;b0799 
15_Sachsen-Anhalt;800 bis 999 Betten;2;34738,00;6,75;1,2105;0,0174;15;b0999 
15_Sachsen-Anhalt;1000 Betten und mehr;-999;-999,00;-999,00;-999,00;-9,99;15;b1000+
15_Sachsen-Anhalt;Ohne Angabe;0;0,00;0,00;0,00;0,00;15;oA    
16_Thüringen;bis 49 Betten;3;297,00;47,30;1,761;0,00;16;b0049 
16_Thüringen;50 bis 99 Betten;8;1623,625;17,875;1,796;0,0102;16;b0099 
16_Thüringen;100 bis 149 Betten;6;2537,1667;14,0167;1,4525;0,0099;16;b0149 
16_Thüringen;150 bis 199 Betten;4;8111,50;5,925;0,938;0,0305;16;b0199 
16_Thüringen;200 bis 249 Betten;-999;-999,00;-999,00;-999,00;-9,99;16;b0249 
16_Thüringen;250 bis 299 Betten;-999;-999,00;-999,00;-999,00;-9,99;16;b0299 
16_Thüringen;300 bis 399 Betten;6;15824,3333;5,8833;0,9252;0,0192;16;b0399 
16_Thüringen;400 bis 499 Betten;5;20604,20;6,10;0,9332;0,0224;16;b0499 
16_Thüringen;500 bis 599 Betten;2;19499,50;7,05;1,1265;0,0145;16;b0599 
16_Thüringen;600 bis 799 Betten;4;25493,25;7,325;1,282;0,0117;16;b0799 
16_Thüringen;800 bis 999 Betten;-999;-999,00;-999,00;-999,00;-9,99;16;b0999 
16_Thüringen;1000 Betten und mehr;2;51016,00;6,75;1,338;0,0168;16;b1000+
16_Thüringen;Ohne Angabe;0;0,00;0,00;0,00;0,00;16;oA    
